map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086   15.0444        0.0768         15.0454        0.0764 
16.305-0.072   16.3145        -0.0744        16.3123        -0.0729
16.661-0.343   16.6643        -0.3403        16.6662        -0.3397
16.905+0.343   16.9050        0.3384         16.9061        0.3395 
16.925+0.242   16.9258        0.2423         16.9250        0.2439     
16.925+0.242   16.9255        0.2655         16.9257        0.2653 
16.941+0.458   16.9001        0.4671         16.8997        0.4682      
17.082+0.442   17.0823        0.4456         17.0836        0.4471         
17.082+0.442   17.1177        0.4985         17.1201        0.4996         
17.206+0.292   17.2095        0.2922         17.2101        0.2927         
17.211+0.782   17.2242        0.7974         17.2235        0.7979
18.145-0.416   18.1455        -0.4168        18.1456        -0.4170        
18.287-0.256   18.3136        -0.2568        18.3138        -0.2560     
18.341-0.276   18.3598        -0.2755        18.3586        -0.2753  
18.5-0.183     18.4994        -0.1808        18.4994        -0.1807   
18.571-0.435   18.5718        -0.4344        18.5717        -0.4340        
18.689-0.093   18.6874        -0.0910        18.6877        -0.0909       
18.762-0.029   18.7634        -0.0292        18.7641        -0.0287 
18.787-0.55    18.7675        -0.5440        18.7665        -0.5439        
18.886+0.068   18.8935        0.0270         18.8947        0.0275         
18.886+0.068   18.9204        0.0781         18.9211        0.0792    
18.886+0.068   18.9716        0.0472         18.9715        0.0485  
18.906-0.152   18.9068        -0.1512        18.9066        -0.1502        
18.949+0.039   18.9485        0.0410         18.9491        0.0408         
19.041-0.515   19.0216        -0.4874        19.0208        -0.4871        
19.082-0.291   19.0769        -0.2473        19.0772        -0.2468  
19.103-0.23    19.1035        -0.2317        19.1039        -0.2313        
19.137-0.056   19.1246        -0.0529        19.1246        -0.0528        
19.159-0.493   19.1393        -0.5199        19.1395        -0.5190        
20.031-0.706   20.0309        -0.7076        20.0318        -0.7068     
20.699-0.084   20.7044        -0.0840        20.7034        -0.0841   
20.985+0.136   20.9847        0.1356         20.9850        0.1356   
21.321-0.139   21.3213        -0.1389        21.3216        -0.1391   
21.977+0.232   21.9768        0.2342         21.9739        0.2319   
22.429+0.269   22.4307        0.2715         22.4317        0.2722     
22.429+0.269   22.4153        0.3174         22.4151        0.3169
