map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.907-0.147   15.9082        -0.1460        15.9080        -0.1449  
16.852-0.319   16.8492        -0.3169        16.8494        -0.3169    
16.925+0.242   16.9158        0.1996         16.9162        0.1994 
17.082+0.442   17.0556        0.4376         17.0559        0.4371         
17.082+0.442   17.0821        0.3955         17.0832        0.3959   
17.619-0.204   17.6228        -0.2044        17.6223        -0.2040        
18.105-0.234   18.0978        -0.2303        18.0983        -0.2311        
18.214-0.486   18.2151        -0.4868        18.2139        -0.4864 
18.261-0.309   18.2240        -0.3276        18.2252        -0.3251        
18.287-0.256   18.2349        -0.1891        18.2369        -0.1877   
18.287-0.256   18.2448        -0.1904        18.2464        -0.1894 
18.486-0.165   18.4854        -0.1651        18.4863        -0.1646  
18.849-0.086   18.8486        -0.0856        18.8460        -0.0840  
18.886+0.068   18.8860        -0.0247        18.8863        -0.0243        
18.886+0.068   18.9066        0.0800         18.9063        0.0785   
18.886+0.068   18.8987        0.1366         18.8978        0.1367         
18.893+1.005   18.9369        0.9759         18.9374        0.9765         
18.893+1.005   18.9296        1.0134         18.9313        1.0133         
18.927-0.524   18.9216        -0.4847        18.9219        -0.4844   
18.947+0.859   18.9326        0.8646         18.9354        0.8665         
18.974-0.262   18.9660        -0.2676        18.9664        -0.2673        
19.019-0.07    18.9915        -0.0573        18.9912        -0.0573        
19.159-0.493   19.1341        -0.4898        19.1342        -0.4898        
19.186-0.299   19.1870        -0.2744        19.1876        -0.2746        
19.281-0.387   19.2815        -0.3877        19.2823        -0.3875        
19.284+0.455   19.2839        0.4297         19.2849        0.4301         
20.775-0.076   20.7579        -0.1074        20.7588        -0.1077      
22.429+0.269   22.4383        0.2809         22.4383        0.2810         
22.429+0.269   22.5276        0.3519         22.5266        0.3534  
22.429+0.269   22.5726        0.3442         22.5705        0.3450    
22.53+0.274    22.5204        0.2710         22.5200        0.2712     
22.53+0.274    22.5290        0.2746         22.5295        0.2757         
22.546-0.526   22.5127        -0.5187        22.5141        -0.5188   
22.795-0.457   22.8073        -0.4507        22.8079        -0.4519        
23.066+0.049   23.0655        0.0396         23.0660        0.0399 
23.091-0.334   23.0901        -0.3336        23.0913        -0.3339    
23.091-0.334   23.0880        -0.3084        23.0888        -0.3106      
23.234-0.27    23.2351        -0.2677        23.2347        -0.2680        
23.853+0.069   23.8543        0.0716         23.8547        0.0725        
24.392+0.448   24.3968        0.4433         24.3949        0.4451      
24.392+0.448   24.4210        0.4341         24.4209        0.4342         
24.491+0.339   24.4676        0.3111         24.4671        0.3105     
24.579-0.141   24.6139        -0.1402        24.6144        -0.1400        
24.964-0.173   24.8914        -0.1298        24.8907        -0.1291        
24.964-0.173   24.9220        -0.1367        24.9216        -0.1355    
25.394-0.361   25.3581        -0.3458        25.3583        -0.3457       
25.439-0.528   25.4230        -0.4697        25.4236        -0.4682  
25.772+0.215   25.7650        0.2655         25.7652        0.2664         
25.79+0.619    25.7978        0.6148         25.7978        0.6157   
26.082+0.02    26.0869        0.0293         26.0875        0.0290     
26.291+0.134   26.3023        0.1785         26.3022        0.1784    
26.456-0.392   26.4453        -0.4049        26.4450        -0.4053        
26.532-0.103   26.5327        -0.1023        26.5330        -0.1021      
26.594-0.303   26.5937        -0.3016        26.5937        -0.3015    
27.014-0.619   27.0139        -0.6192        27.0149        -0.6184   
27.021+0.289   27.0238        0.3002         27.0253        0.3006   
27.359-0.367   27.3569        -0.3918        27.3577        -0.3920   
