map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
16.941+0.458   16.9017        0.4543         16.9029        0.4532     
18.287-0.256   18.2906        -0.3200        18.2905        -0.3202  
19.653-0.118   19.6024        -0.0934        19.6022        -0.0932   
27.971+0.094   27.9806        0.1201         27.9816        0.1210    
28.285-0.383   28.2842        -0.3613        28.2874        -0.3629    
28.612-0.393   28.5971        -0.3597        28.5970        -0.3591     
28.677-0.278   28.7105        -0.2409        28.7088        -0.2407      
30.807-0.031   30.6634        -0.1442        30.6644        -0.1424  
35.549+0.049   35.5562        0.0147         35.5565        0.0147   
37.78-0.265    37.7647        -0.2599        37.7653        -0.2600  
39.286-0.025   39.3095        -0.0520        39.3108        -0.0519   
42.137-0.648   41.9888        -0.6837        41.9893        -0.6830   
43.174-0.075   43.1652        -0.0699        43.1650        -0.0699  
43.82-0.121    43.8169        -0.1174        43.8178        -0.1177   
45.787-0.335   45.7409        -0.3307        45.7412        -0.3308   
48.602+0.294   48.5956        0.3630         48.5955        0.3630     
48.842-0.159   48.8807        -0.1770        48.8796        -0.1759        
49.648-0.202   49.5934        -0.1923        49.5935        -0.1907   
50.892+0.223   50.9138        0.1783         50.9136        0.1790  
50.892+0.223   50.9299        0.1698         50.9289        0.1706   
53.257+0.043   53.2036        0.0767         53.2039        0.0751  
53.396+0.043   53.3910        0.0634         53.3893        0.0599    
53.694-0.066   53.6906        -0.0817        53.6908        -0.0820      
53.8+0.008     53.8554        -0.0090        53.8562        -0.0088 
