map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
18.232-0.153   18.2288        -0.1207        18.2287        -0.1199
19.653-0.118   19.6441        -0.1542        19.6450        -0.1531  
19.653-0.118   19.6573        -0.1234        19.6576        -0.1231      
22.429+0.269   22.4525        0.3097         22.4518        0.3076     
23.252+0.017   23.2442        0.0061         23.2434        0.0078     
23.588-0.009   23.5347        -0.0589        23.5352        -0.0591 
23.856-0.169   23.8897        -0.1801        23.8898        -0.1804   
25.772+0.215   25.8350        0.2714         25.8351        0.2719   
26.941-0.301   26.9410        -0.3005        26.9411        -0.3006 
26.996-0.04    27.0064        -0.0256        27.0058        -0.0254   
27.478+0.138   27.4379        0.0847         27.4393        0.0834  
29.071-0.542   29.0649        -0.5423        29.0688        -0.5442     
30.449+0.426   30.4341        0.4068         30.4331        0.4075   
32.635-0.255   32.6648        -0.2464        32.6641        -0.2461    
35.839-0.228   35.8620        -0.2312        35.8617        -0.2314  
37.438+0.141   37.4423        0.1421         37.4438        0.1399   
49.189-0.367   49.0291        -0.2723        49.0291        -0.2713        
49.732-0.424   49.7022        -0.4174        49.7021        -0.4175    
50.827+0.186   50.8157        0.2002         50.8156        0.2002    
50.892+0.223   50.8908        0.1883         50.8911        0.1891     
53.132+0.257   53.2143        0.1934         53.2152        0.1953   
