map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.55-0.454    1              250            15.5462        -0.4480        275.1440       -15.6338       0.00           
15.55-0.454    1              350            15.5433        -0.4454        275.1402       -15.6352       14.02
16.386-0.212   1              250            16.3874        -0.2189        275.3451       -14.7839       0.00           
16.386-0.212   1              350            16.3877        -0.2190        275.3454       -14.7837       1.14  
18.287-0.256   2              250            18.2734        -0.2830        276.3146       -13.1480       0.00           
18.287-0.256   2              350            18.2747        -0.2826        276.3149       -13.1467       4.90
18.287-0.256   5              250            18.2481        -0.2070        276.2335       -13.1349       0.00           
18.287-0.256   5              350            18.2473        -0.2065        276.2327       -13.1354       3.40 
18.287-0.256   7              250            18.2758        -0.2344        276.2717       -13.1232       0.00           
18.287-0.256   7              350            18.2771        -0.2375        276.2751       -13.1235       12.10 
18.287-0.256   8              250            18.3011        -0.2663        276.3128       -13.1157       0.00           
18.287-0.256   8              350            18.3009        -0.2666        276.3129       -13.1161       1.30
18.366-0.392   1              250            18.3492        -0.3706        276.4305       -13.1219       0.00           
18.366-0.392   1              350            18.3496        -0.3698        276.4300       -13.1212       3.22 
18.366-0.392   2              250            18.3734        -0.3950        276.4643       -13.1119       0.00           
18.366-0.392   2              350            18.3740        -0.3951        276.4647       -13.1114       2.19  
18.681-0.051   1              250            18.6776        -0.0538        276.3004       -12.6836       0.00           
18.681-0.051   1              350            18.6778        -0.0530        276.2998       -12.6830       2.97  
18.886+0.068   5              250            18.9063        0.0303         276.3337       -12.4421       0.00           
18.886+0.068   5              350            18.9059        0.0306         276.3332       -12.4423       1.80  
18.886+0.068   6              250            18.9080        0.0417         276.3242       -12.4353       0.00           
18.886+0.068   6              350            18.9075        0.0404         276.3251       -12.4363       5.01 
18.927-0.524   1              250            18.9162        -0.5153        276.8329       -12.6877       0.00           
18.927-0.524   1              350            18.9172        -0.5155        276.8336       -12.6869       3.67  
18.997+0.014   1              250            19.0043        -0.0090        276.4161       -12.3738       0.00           
18.997+0.014   1              350            19.0039        -0.0081        276.4151       -12.3737       3.55 
19.041-0.515   1              250            19.0435        -0.5360        276.9124       -12.5847       0.00           
19.041-0.515   1              350            19.0418        -0.5361        276.9117       -12.5862       6.13 
19.082-0.291   3              250            19.0929        -0.2856        276.7090       -12.4244       0.00           
19.082-0.291   3              350            19.0936        -0.2857        276.7094       -12.4238       2.55 
19.653-0.118   4              250            19.6699        -0.1389        276.8510       -11.8454       0.00           
19.653-0.118   4              350            19.6709        -0.1383        276.8509       -11.8443       4.20 
19.834-0.336   1              250            19.7966        -0.3626        277.1135       -11.8373       0.00           
19.834-0.336   1              350            19.7973        -0.3627        277.1139       -11.8367       2.55
19.834-0.336   2              250            19.8422        -0.3451        277.1193       -11.7888       0.00           
19.834-0.336   2              350            19.8418        -0.3457        277.1197       -11.7894       2.60
22.429+0.269   1              250            22.3833        0.3048         277.7322       -9.2360        0.00           
22.429+0.269   1              350            22.3833        0.3016         277.7351       -9.2375        11.52  
22.429+0.269   2              250            22.4153        0.2759         277.7731       -9.2210        0.00           
22.429+0.269   2              350            22.4157        0.2760         277.7732       -9.2206        1.48 
22.429+0.269   6              250            22.4416        0.2951         277.7682       -9.1888        0.00           
22.429+0.269   6              350            22.4429        0.2957         277.7683       -9.1874        5.15 
22.429+0.269   8              250            22.4682        0.3086         277.7686       -9.1590        0.00           
22.429+0.269   8              350            22.4682        0.3094         277.7679       -9.1586        2.88
22.429+0.269   9              250            22.4906        0.3230         277.7661       -9.1325        0.00           
22.429+0.269   9              350            22.4901        0.3230         277.7659       -9.1329        1.80  
22.546-0.526   2              250            22.5221        -0.5222        278.5406       -9.4949        0.00           
22.546-0.526   2              350            22.5220        -0.5211        278.5395       -9.4944        3.98
22.546-0.526   3              250            22.5338        -0.5290        278.5522       -9.4876        0.00           
