map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086   1              250            15.0444        0.0768         274.4171       -15.8278       0.00           
15.054+0.086   1              350            15.0454        0.0764         274.4180       -15.8272       3.88 
16.305-0.072   1              250            16.3145        -0.0744        275.1778       -14.7801       0.00           
16.305-0.072   1              350            16.3123        -0.0729        275.1754       -14.7814       9.59
16.661-0.343   1              250            16.6643        -0.3403        275.5905       -14.5966       0.00           
16.661-0.343   1              350            16.6662        -0.3397        275.5909       -14.5946       7.17 
16.905+0.343   2              250            16.9050        0.3384         275.0893       -14.0648       0.00           
16.905+0.343   2              350            16.9061        0.3395         275.0889       -14.0633       5.60  
16.925+0.242   2              250            16.9099        0.2187         275.2006       -14.1169       0.00           
16.925+0.242   2              350            16.9108        0.2207         275.1992       -14.1151       7.90   
16.925+0.242   3              250            16.9258        0.2423         275.1868       -14.0917       0.00           
16.925+0.242   3              350            16.9250        0.2439         275.1850       -14.0917       6.44  
16.925+0.242   4              250            16.9255        0.2655         275.1656       -14.0811       0.00           
16.925+0.242   4              350            16.9257        0.2653         275.1658       -14.0810       1.02 
16.941+0.458   2              250            16.9001        0.4671         274.9700       -14.0084       0.00           
16.941+0.458   2              350            16.8997        0.4682         274.9688       -14.0082       4.21  
17.082+0.442   4              250            17.0823        0.4456         275.0781       -13.8579       0.00           
17.082+0.442   4              350            17.0836        0.4471         275.0773       -13.8560       7.15 
17.082+0.442   5              250            17.1177        0.4985         275.0472       -13.8017       0.00           
17.082+0.442   5              350            17.1201        0.4996         275.0474       -13.7991       9.50   
17.082+0.442   6              250            17.1045        0.5316         275.0108       -13.7977       0.00           
17.082+0.442   6              350            17.1043        0.5323         275.0100       -13.7976       2.62 
17.082+0.442   7              250            17.1060        0.5473         274.9972       -13.7890       0.00           
17.082+0.442   7              350            17.1066        0.5471         274.9977       -13.7886       2.28
17.206+0.292   1              250            17.2095        0.2922         275.2791       -13.8180       0.00           
17.206+0.292   1              350            17.2101        0.2927         275.2790       -13.8172       2.81
17.211+0.782   1              250            17.2242        0.7974         274.8278       -13.5667       0.00           
17.211+0.782   1              350            17.2235        0.7979         274.8270       -13.5671       3.10
18.145-0.416   1              250            18.1455        -0.4168        276.3748       -13.3236       0.00           
18.145-0.416   1              350            18.1456        -0.4170        276.3750       -13.3236       0.80  
18.287-0.256   9              250            18.2570        -0.1667        276.2012       -13.1082       0.00           
18.287-0.256   9              350            18.2585        -0.1671        276.2023       -13.1070       5.59 
18.287-0.256   10             250            18.3136        -0.2568        276.3101       -13.1003       0.00           
18.287-0.256   10             350            18.3138        -0.2560        276.3095       -13.0997       2.97 
18.341-0.276   1              250            18.3598        -0.2755        276.3493       -13.0681       0.00           
