map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086   15.0444        0.0768         15.0454        0.0764 
17.082+0.442   17.0823        0.4456         17.0836        0.4471    
18.5-0.183     18.4994        -0.1808        18.4994        -0.1807   
18.571-0.435   18.5718        -0.4344        18.5717        -0.4340       
18.762-0.029   18.7634        -0.0292        18.7641        -0.0287 
18.886+0.068   18.9204        0.0781         18.9211        0.0792    
18.906-0.152   18.9068        -0.1512        18.9066        -0.1502     
19.041-0.515   19.0216        -0.4874        19.0208        -0.4871  
19.137-0.056   19.1246        -0.0529        19.1246        -0.0528    
20.031-0.706   20.0309        -0.7076        20.0318        -0.7068     
21.321-0.139   21.3213        -0.1389        21.3216        -0.1391   
21.977+0.232   21.9768        0.2342         21.9739        0.2319  
22.31-0.628    22.3098        -0.6268        22.3081        -0.6263    
22.43-0.706    22.4336        -0.7031        22.4321        -0.7033   
22.585-0.204   22.5867        -0.2035        22.5860        -0.2037 
22.729+0.126   22.7277        0.1261         22.7276        0.1263   
22.795-0.457   22.8307        -0.4541        22.8308        -0.4541     
22.945-0.446   22.9453        -0.4445        22.9469        -0.4436  
23.031-0.624   23.0311        -0.6239        23.0320        -0.6242     
23.066+0.049   23.0689        0.0483         23.0687        0.0485    
23.104-0.071   23.1015        -0.0881        23.1020        -0.0871      
23.14-0.326    23.1244        -0.3330        23.1253        -0.3330  
23.252+0.017   23.2255        0.0072         23.2259        0.0073         
23.252+0.017   23.2523        0.0184         23.2518        0.0188 
23.294-0.202   23.2784        -0.2150        23.2773        -0.2152  
23.294-0.202   23.3103        -0.1935        23.3101        -0.1938    
23.296+0.055   23.2957        0.0548         23.2966        0.0550
23.378+0.098   23.3790        0.0991         23.3777        0.1000  
23.382-0.022   23.3814        -0.0207        23.3819        -0.0206 
23.423-0.103   23.3192        -0.1071        23.3196        -0.1071  
23.477-0.536   23.4450        -0.5240        23.4464        -0.5238   
23.477-0.536   23.4804        -0.5441        23.4804        -0.5422  
23.477-0.536   23.4793        -0.5343        23.4796        -0.5329  
23.923-0.208   23.9250        -0.2081        23.9244        -0.2078   
24.05-0.214    24.0496        -0.2140        24.0499        -0.2141  
24.097+0.349   24.0799        0.3451         24.0810        0.3446         
24.193-0.081   24.1956        -0.0795        24.1958        -0.0793  
24.296+0.206   24.2982        0.2126         24.2980        0.2123   
24.373-0.157   24.3657        -0.1670        24.3657        -0.1666    
24.668-0.115   24.6915        -0.1243        24.6912        -0.1240     
24.813-0.107   24.8172        -0.1285        24.8170        -0.1288  
24.855+0.683   24.8552        0.6834         24.8561        0.6834   
24.964-0.173   24.9636        -0.1714        24.9645        -0.1721  
24.964-0.173   24.9935        -0.0993        24.9944        -0.0995  
25.046-0.183   25.0483        -0.1813        25.0472        -0.1805     
25.075+0.202   25.0753        0.2019         25.0754        0.2023      
25.076+0.182   25.0766        0.1828         25.0767        0.1826 
25.236+0.451   25.2369        0.4516         25.2372        0.4515 
25.266+0.38    25.2706        0.3797         25.2705        0.3796
25.674-0.123   25.6642        -0.1190        25.6644        -0.1189       
25.747+0.028   25.7470        0.0284         25.7472        0.0290  
26.291+0.134   26.2911        0.1340         26.2910        0.1349   
26.344+0.135   26.3454        0.1374         26.3449        0.1378  
26.432-0.662   26.4181        -0.6421        26.4185        -0.6414 
26.432-0.662   26.4341        -0.6617        26.4350        -0.6624     
26.432-0.662   26.4535        -0.6755        26.4541        -0.6753   
26.657-0.075   26.6579        -0.0753        26.6585        -0.0749   
26.736+0.213   26.7357        0.2266         26.7361        0.2271   
27.145+0.004   27.1455        0.0045         27.1459        0.0046   
27.832-0.338   27.8235        -0.3557        27.8241        -0.3543      
28.073+0.116   28.0749        0.1171         28.0756        0.1162   
28.087+0.067   28.0887        0.0687         28.0883        0.0693   
28.111-0.448   28.1116        -0.4479        28.1102        -0.4472  
28.275-0.163   28.2726        -0.1669        28.2737        -0.1658  
28.333+0.063   28.3552        0.0724         28.3562        0.0732    
28.394-0.113   28.3939        -0.1134        28.3933        -0.1135   
28.565-0.227   28.5806        -0.2312        28.5823        -0.2297   
28.566-0.339   28.5140        -0.3741        28.5145        -0.3741   
28.566-0.339   28.5860        -0.3010        28.5866        -0.3006  
28.714+0.143   28.6619        0.1469         28.6614        0.1467 
28.986+0.024   28.9866        0.0236         28.9865        0.0247   
29.026-0.623   29.0269        -0.6226        29.0272        -0.6223  
29.174-0.496   29.1759        -0.4967        29.1757        -0.4961    
29.284-0.629   29.3131        -0.6120        29.3133        -0.6125  
30.308-0.245   30.3102        -0.2468        30.3104        -0.2466  
30.314-0.137   30.3155        -0.1378        30.3161        -0.1379    
30.438-0.1     30.4393        -0.0994        30.4401        -0.0988     
30.578-0.252   30.5828        -0.2104        30.5831        -0.2110 
30.615+0.237   30.6130        0.2353         30.6151        0.2375     
30.664-0.423   30.6639        -0.4133        30.6654        -0.4157   
31.023-0.111   31.0237        -0.1114        31.0247        -0.1121    
31.039+0.241   31.0244        0.2621         31.0257        0.2639    
34.739-0.118   34.7393        -0.1186        34.7394        -0.1190    
36.671-0.131   36.6707        -0.1282        36.6710        -0.1304   
37.473+0.049   37.4745        0.0491         37.4754        0.0494   
38.864-0.488   38.8555        -0.5010        38.8559        -0.5009     
