map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086   1              250            15.0444        0.0768         274.4171       -15.8278       0.00           
15.054+0.086   1              350            15.0454        0.0764         274.4180       -15.8272       3.88 
17.082+0.442   4              250            17.0823        0.4456         275.0781       -13.8579       0.00           
17.082+0.442   4              350            17.0836        0.4471         275.0773       -13.8560       7.15 
18.5-0.183     1              250            18.4994        -0.1808        276.3302       -12.9005       0.00           
18.5-0.183     1              350            18.4994        -0.1807        276.3301       -12.9004       0.36  
18.571-0.435   2              250            18.5718        -0.4344        276.5950       -12.9548       0.00           
18.571-0.435   2              350            18.5717        -0.4340        276.5946       -12.9547       1.48 
18.762-0.029   1              250            18.7634        -0.0292        276.3192       -12.5962       0.00           
18.762-0.029   1              350            18.7641        -0.0287        276.3191       -12.5954       3.10  
18.886+0.068   9              250            18.9204        0.0781         276.2972       -12.4073       0.00           
18.886+0.068   9              350            18.9211        0.0792         276.2965       -12.4062       4.69 
18.906-0.152   1              250            18.9068        -0.1512        276.4983       -12.5264       0.00           
18.906-0.152   1              350            18.9066        -0.1502        276.4973       -12.5261       3.67  
19.041-0.515   2              250            19.0216        -0.4874        276.8579       -12.5814       0.00           
19.041-0.515   2              350            19.0208        -0.4871        276.8573       -12.5820       3.08  
19.137-0.056   1              250            19.1246        -0.0529        276.5133       -12.2879       0.00           
19.137-0.056   1              350            19.1246        -0.0528        276.5133       -12.2878       0.36  
20.031-0.706   1              250            20.0309        -0.7076        277.5368       -11.7898       0.00           
20.031-0.706   1              350            20.0318        -0.7068        277.5365       -11.7886       4.33 
21.321-0.139   1              250            21.3213        -0.1389        277.6323       -10.3828       0.00           
21.321-0.139   1              350            21.3216        -0.1391        277.6326       -10.3826       1.30    
21.977+0.232   1              250            21.9768        0.2342         277.6048       -9.6290        0.00           
21.977+0.232   1              350            21.9739        0.2319         277.6055       -9.6327        13.32 
22.31-0.628    1              250            22.3098        -0.6268        278.5355       -9.7315        0.00           
22.31-0.628    1              350            22.3081        -0.6263        278.5343       -9.7327        6.38 
22.43-0.706    1              250            22.4336        -0.7031        278.6621       -9.6567        0.00           
22.43-0.706    1              350            22.4321        -0.7033        278.6615       -9.6582        5.45 
22.585-0.204   1              250            22.5867        -0.2035        278.2841       -9.2906        0.00           
22.585-0.204   1              350            22.5860        -0.2037        278.2840       -9.2913        2.62 
22.729+0.126   2              250            22.7277        0.1261         278.0540       -9.0133        0.00           
22.729+0.126   2              350            22.7276        0.1263         278.0537       -9.0133        0.80 
22.795-0.457   3              250            22.8307        -0.4541        278.6234       -9.1896        0.00           
22.795-0.457   3              350            22.8308        -0.4541        278.6235       -9.1895        0.36  
22.945-0.446   1              250            22.9453        -0.4445        278.6682       -9.0835        0.00           
