map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
16.661-0.343   1              250            16.6643        -0.3403        275.5905       -14.5966       0.00           
16.661-0.343   1              350            16.6662        -0.3397        275.5909       -14.5946       7.17 
16.905+0.343   2              250            16.9050        0.3384         275.0893       -14.0648       0.00           
16.905+0.343   2              350            16.9061        0.3395         275.0889       -14.0633       5.60  
16.925+0.242   3              250            16.9258        0.2423         275.1868       -14.0917       0.00           
16.925+0.242   3              350            16.9250        0.2439         275.1850       -14.0917       6.44  
16.925+0.242   4              250            16.9255        0.2655         275.1656       -14.0811       0.00           
16.925+0.242   4              350            16.9257        0.2653         275.1658       -14.0810       1.02 
17.082+0.442   5              250            17.1177        0.4985         275.0472       -13.8017       0.00           
17.082+0.442   5              350            17.1201        0.4996         275.0474       -13.7991       9.50   
17.206+0.292   1              250            17.2095        0.2922         275.2791       -13.8180       0.00           
17.206+0.292   1              350            17.2101        0.2927         275.2790       -13.8172       2.81
17.211+0.782   1              250            17.2242        0.7974         274.8278       -13.5667       0.00           
17.211+0.782   1              350            17.2235        0.7979         274.8270       -13.5671       3.10
18.145-0.416   1              250            18.1455        -0.4168        276.3748       -13.3236       0.00           
18.145-0.416   1              350            18.1456        -0.4170        276.3750       -13.3236       0.80  
18.287-0.256   10             250            18.3136        -0.2568        276.3101       -13.1003       0.00           
18.287-0.256   10             350            18.3138        -0.2560        276.3095       -13.0997       2.97 
18.341-0.276   1              250            18.3598        -0.2755        276.3493       -13.0681       0.00           
18.341-0.276   1              350            18.3586        -0.2753        276.3485       -13.0691       4.38
18.689-0.093   1              250            18.6874        -0.0910        276.3388       -12.6923       0.00           
18.689-0.093   1              350            18.6877        -0.0909        276.3389       -12.6920       1.14 
18.787-0.55    1              250            18.7675        -0.5440        276.7880       -12.8327       0.00           
18.787-0.55    1              350            18.7665        -0.5439        276.7875       -12.8335       3.62  
18.886+0.068   12             250            18.9716        0.0472         276.3496       -12.3764       0.00           
18.886+0.068   12             350            18.9715        0.0485         276.3484       -12.3759       4.69
18.949+0.039   2              250            18.9485        0.0410         276.3442       -12.3998       0.00           
18.949+0.039   2              350            18.9491        0.0408         276.3447       -12.3993       2.28 
19.082-0.291   4              250            19.0769        -0.2473        276.6666       -12.4207       0.00           
19.082-0.291   4              350            19.0772        -0.2468        276.6663       -12.4202       2.10    
19.103-0.23    1              250            19.1035        -0.2317        276.6652       -12.3899       0.00           
19.103-0.23    1              350            19.1039        -0.2313        276.6650       -12.3893       2.04 
19.159-0.493   2              250            19.1393        -0.5199        276.9435       -12.4924       0.00           
19.159-0.493   2              350            19.1395        -0.5190        276.9427       -12.4918       3.32
20.699-0.084   1              250            20.7044        -0.0840        277.2918       -10.9039       0.00           
20.699-0.084   1              350            20.7034        -0.0841        277.2914       -10.9049       3.62  
20.985+0.136   1              250            20.9847        0.1356         277.2262       -10.5537       0.00           
20.985+0.136   1              350            20.9850        0.1356         277.2264       -10.5535       1.08 
22.429+0.269   3              250            22.4307        0.2715         277.7843       -9.2094        0.00           
22.429+0.269   3              350            22.4317        0.2722         277.7841       -9.2082        4.39 
22.429+0.269   4              250            22.4153        0.3174         277.7359       -9.2018        0.00           
22.429+0.269   4              350            22.4151        0.3169         277.7362       -9.2022        1.94
22.698-0.21    1              250            22.6975        -0.2105        278.3422       -9.1955        0.00           
22.698-0.21    1              350            22.6979        -0.2106        278.3425       -9.1952        1.48  
22.795-0.457   1              250            22.7970        -0.4811        278.6320       -9.2319        0.00           
22.795-0.457   1              350            22.7971        -0.4812        278.6321       -9.2319        0.51  
22.942-0.193   1              250            22.9492        -0.1896        278.4410       -8.9625        0.00           
22.942-0.193   1              350            22.9491        -0.1896        278.4410       -8.9626        0.36  
22.991+0.725   1              250            22.9922        0.7271         277.6386       -8.5008        0.00           
22.991+0.725   1              350            22.9920        0.7267         277.6389       -8.5012        1.61 
23.066+0.049   3              250            23.0681        0.0616         278.2710       -8.7412        0.00           
23.066+0.049   3              350            23.0681        0.0626         278.2701       -8.7407        3.60     
23.136-0.483   1              250            23.1211        -0.4509        278.7559       -8.9304        0.00           
23.136-0.483   1              350            23.1206        -0.4489        278.7539       -8.9299        7.42   
23.423-0.103   2              250            23.3255        -0.1142        278.5488       -8.5938        0.00           
23.423-0.103   2              350            23.3272        -0.1140        278.5494       -8.5922        6.16  
23.423-0.103   3              250            23.3509        -0.1562        278.5984       -8.5907        0.00           
23.423-0.103   3              350            23.3522        -0.1558        278.5986       -8.5893        4.90 
23.423-0.103   4              250            23.3781        -0.1307        278.5881       -8.5548        0.00           
23.423-0.103   4              350            23.3786        -0.1297        278.5875       -8.5539        4.02  
23.463-0.23    1              250            23.4534        -0.2302        278.7125       -8.5338        0.00           
23.463-0.23    1              350            23.4546        -0.2294        278.7124       -8.5323        5.19 
23.56+0.331    1              250            23.5604        0.3309         278.2591       -8.1801        0.00           
23.56+0.331    1              350            23.5609        0.3321         278.2583       -8.1791        4.68  
23.646+0.245   1              250            23.6372        0.2484         278.3689       -8.1501        0.00           
23.646+0.245   1              350            23.6377        0.2483         278.3692       -8.1497        1.84  
23.646+0.245   2              250            23.6476        0.2437         278.3779       -8.1430        0.00           
23.646+0.245   2              350            23.6474        0.2437         278.3778       -8.1432        0.72
23.69+0.263    1              250            23.6906        0.2640         278.3798       -8.0955        0.00           
23.69+0.263    1              350            23.6899        0.2652         278.3784       -8.0956        5.00  
