map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
16.941+0.458   1              250            16.9017        0.4543         274.9824       -14.0130       0.00           
16.941+0.458   1              350            16.9029        0.4532         274.9840       -14.0125       5.86
18.232-0.153   1              250            18.2288        -0.1207        276.1459       -13.1116       0.00           
18.232-0.153   1              350            18.2287        -0.1199        276.1451       -13.1113       2.90 
18.287-0.256   1              250            18.2906        -0.3200        276.3565       -13.1501       0.00           
18.287-0.256   1              350            18.2905        -0.3202        276.3566       -13.1503       0.80 
18.886+0.068   2              250            18.8659        -0.0160        276.3563       -12.4994       0.00           
18.886+0.068   2              350            18.8651        -0.0143        276.3544       -12.4993       6.76   
19.036-0.439   1              250            19.0072        -0.4504        276.8175       -12.5770       0.00           
19.036-0.439   1              350            19.0079        -0.4505        276.8179       -12.5764       2.55 
19.653-0.118   1              250            19.6024        -0.0934        276.7777       -11.8840       0.00           
19.653-0.118   1              350            19.6022        -0.0932        276.7774       -11.8841       1.02 
19.653-0.118   2              250            19.6441        -0.1542        276.8525       -11.8754       0.00           
19.653-0.118   2              350            19.6450        -0.1531        276.8520       -11.8741       5.12 
19.653-0.118   3              250            19.6573        -0.1234        276.8310       -11.8494       0.00           
19.653-0.118   3              350            19.6576        -0.1231        276.8308       -11.8490       1.53  
22.429+0.269   7              250            22.4525        0.3097         277.7602       -9.1724        0.00           
22.429+0.269   7              350            22.4518        0.3076         277.7618       -9.1740        7.97
22.429+0.269   13             250            22.5052        0.3550         277.7443       -9.1047        0.00           
22.429+0.269   13             350            22.5052        0.3557         277.7436       -9.1044        2.52  
23.252+0.017   2              250            23.2442        0.0061         278.4029       -8.6105        0.00           
23.252+0.017   2              350            23.2434        0.0078         278.4011       -8.6105        6.76 
23.588-0.009   1              250            23.5347        -0.0589        278.5967       -8.3827        0.00           
23.588-0.009   1              350            23.5352        -0.0591        278.5971       -8.3823        1.94  
