map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
16.925+0.242   1              250            16.9158        0.1996         275.2208       -14.1207       0.00           
16.925+0.242   1              350            16.9162        0.1994         275.2212       -14.1204       1.61 
17.082+0.442   2              250            17.0556        0.4376         275.0724       -13.8852       0.00           
17.082+0.442   2              350            17.0559        0.4371         275.0730       -13.8852       2.10 
17.082+0.442   3              250            17.0821        0.3955         275.1235       -13.8817       0.00           
17.082+0.442   3              350            17.0832        0.3959         275.1237       -13.8805       4.21  
17.619-0.204   1              250            17.6228        -0.2044        275.9303       -13.6863       0.00           
17.619-0.204   1              350            17.6223        -0.2040        275.9297       -13.6866       2.31 
18.105-0.234   1              250            18.0978        -0.2303        276.1825       -13.2787       0.00           
18.105-0.234   1              350            18.0983        -0.2311        276.1834       -13.2786       3.40 
18.214-0.486   1              250            18.2151        -0.4868        276.4718       -13.2947       0.00           
18.214-0.486   1              350            18.2139        -0.4864        276.4709       -13.2956       4.55 
18.261-0.309   1              250            18.2240        -0.3276        276.3314       -13.2125       0.00           
18.261-0.309   1              350            18.2252        -0.3251        276.3297       -13.2103       9.98 
18.287-0.256   6              250            18.2448        -0.1904        276.2168       -13.1301       0.00           
18.287-0.256   6              350            18.2464        -0.1894        276.2167       -13.1282       6.79 
18.486-0.165   1              250            18.4854        -0.1651        276.3093       -12.9055       0.00           
18.486-0.165   1              350            18.4863        -0.1646        276.3093       -12.9045       3.71
18.886+0.068   3              250            18.8860        -0.0247        276.3738       -12.4857       0.00           
18.886+0.068   3              350            18.8863        -0.0243        276.3736       -12.4853       1.80 
18.886+0.068   7              250            18.9066        0.0800         276.2888       -12.4186       0.00           
18.886+0.068   7              350            18.9063        0.0785         276.2901       -12.4196       5.51 
18.886+0.068   10             250            18.8987        0.1366         276.2338       -12.3991       0.00           
18.886+0.068   10             350            18.8978        0.1367         276.2333       -12.3999       3.26 
18.893+1.005   1              250            18.9369        0.9759         275.4936       -11.9721       0.00           
18.893+1.005   1              350            18.9374        0.9765         275.4933       -11.9714       2.81
18.893+1.005   2              250            18.9296        1.0134         275.4563       -11.9609       0.00           
18.893+1.005   2              350            18.9313        1.0133         275.4572       -11.9595       6.13   
18.947+0.859   1              250            18.9326        0.8646         275.5920       -12.0282       0.00           
18.947+0.859   1              350            18.9354        0.8665         275.5916       -12.0248       12.18 
19.019-0.07    1              250            18.9915        -0.0573        276.4538       -12.4076       0.00           
19.019-0.07    1              350            18.9912        -0.0573        276.4536       -12.4079       1.08 
19.159-0.493   3              250            19.1341        -0.4898        276.9137       -12.4830       0.00           
19.159-0.493   3              350            19.1342        -0.4898        276.9137       -12.4829       0.36 
19.186-0.299   1              250            19.1870        -0.2744        276.7437       -12.3359       0.00           
19.186-0.299   1              350            19.1876        -0.2746        276.7442       -12.3355       2.28  
20.775-0.076   1              250            20.7579        -0.1074        277.3382       -10.8674       0.00           
20.775-0.076   1              350            20.7588        -0.1077        277.3389       -10.8667       3.42 
22.429+0.269   5              250            22.4383        0.2809         277.7794       -9.1983        0.00           
22.429+0.269   5              350            22.4383        0.2810         277.7793       -9.1983        0.36 
22.429+0.269   14             250            22.5276        0.3519         277.7575       -9.0863        0.00           
22.429+0.269   14             350            22.5266        0.3534         277.7557       -9.0865        6.49    
22.53+0.274    1              250            22.5204        0.2710         277.8268       -9.1301        0.00           
22.53+0.274    1              350            22.5200        0.2712         277.8264       -9.1304        1.61     
22.53+0.274    2              250            22.5290        0.2746         277.8276       -9.1208        0.00           
22.53+0.274    2              350            22.5295        0.2757         277.8268       -9.1199        4.35  
22.795-0.457   2              250            22.8073        -0.4507        278.6094       -9.2088        0.00           
22.795-0.457   2              350            22.8079        -0.4519        278.6108       -9.2088        4.83 
23.066+0.049   1              250            23.0655        0.0396         278.2895       -8.7536        0.00           
23.066+0.049   1              350            23.0660        0.0399         278.2895       -8.7530        2.10 
23.091-0.334   1              250            23.0901        -0.3336        278.6361       -8.9039        0.00           
23.091-0.334   1              350            23.0913        -0.3339        278.6369       -8.9029        4.45  
23.091-0.334   2              250            23.0880        -0.3084        278.6125       -8.8941        0.00           
23.091-0.334   2              350            23.0888        -0.3106        278.6148       -8.8944        8.43  
