map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.907-0.147   1              250            15.9082        -0.1460        275.0449       -15.1722       0.00           
15.907-0.147   1              350            15.9080        -0.1449        275.0438       -15.1719       4.02  
16.852-0.319   1              250            16.8492        -0.3169        275.6588       -14.4223       0.00           
16.852-0.319   1              350            16.8494        -0.3169        275.6589       -14.4221       0.72  
18.849-0.086   1              250            18.8486        -0.0856        276.4111       -12.5472       0.00           
18.849-0.086   1              350            18.8460        -0.0840        276.4084       -12.5488       10.99  
18.974-0.262   1              250            18.9660        -0.2676        276.6321       -12.5283       0.00           
18.974-0.262   1              350            18.9664        -0.2673        276.6320       -12.5278       1.80 
19.281-0.387   1              250            19.2815        -0.3877        276.8914       -12.3050       0.00           
19.281-0.387   1              350            19.2823        -0.3875        276.8916       -12.3042       2.97  
22.546-0.526   1              250            22.5127        -0.5187        278.5330       -9.5016        0.00           
22.546-0.526   1              350            22.5141        -0.5188        278.5338       -9.5004        5.05   
23.234-0.27    2              250            23.2351        -0.2677        278.6445       -8.7448        0.00           
23.234-0.27    2              350            23.2347        -0.2680        278.6446       -8.7453        1.80
