map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
18.326-0.279   18.3076        -0.3244        18.3074        -0.3245  
18.854+0.713   18.8455        0.6814         18.8458        0.6803   
19.42-0.089    19.4134        -0.1174        19.4139        -0.1178 
23.117+0.137   23.1140        0.1113         23.1145        0.1097   
26.083-0.036   26.0773        -0.0653        26.0753        -0.0670  
26.575+0.729   26.5689        0.6942         26.5679        0.6944  
28.815+0.424   28.8077        0.4100         28.8077        0.4081 
28.868-0.237   28.8584        -0.2759        28.8579        -0.2781  
30.567-0.051   30.5596        -0.0883        30.5596        -0.0901    
31.858-0.387   31.8494        -0.4093        31.8506        -0.4099    
32.644-0.781   32.6356        -0.8227        32.6363        -0.8235    
34.678-0.615   34.6622        -0.6625        34.6622        -0.6644   
34.725-0.546   34.7098        -0.5838        34.7091        -0.5854      
34.766-0.657   34.7607        -0.6794        34.7607        -0.6813  
35.099-0.76    35.0994        -0.7848        35.0945        -0.7849   
39.889-0.149   39.8818        -0.1923        39.8821        -0.1921   
44.51-0.827    44.4984        -0.8444        44.4982        -0.8470   
45.386+0.082   45.3782        0.0833         45.3793        0.0838  
45.8-0.302     45.7943        -0.3250        45.7938        -0.3271    
48.737-0.811   48.7265        -0.8500        48.7278        -0.8519    
48.954-0.143   48.9425        -0.1657        48.9428        -0.1668  
49.155-0.319   49.1458        -0.3426        49.1468        -0.3427   
49.582-0.351   49.5752        -0.3769        49.5760        -0.3790    
49.828-0.431   49.8175        -0.4560        49.8168        -0.4576  
53.989-0.085   53.9817        -0.1114        53.9823        -0.1130  
