map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.55-0.454    1              250            15.5462        -0.4480        275.1440       -15.6338       0.00           
15.55-0.454    1              350            15.5433        -0.4454        275.1402       -15.6352       14.02
16.386-0.212   1              250            16.3874        -0.2189        275.3451       -14.7839       0.00           
16.386-0.212   1              350            16.3877        -0.2190        275.3454       -14.7837       1.14           
16.925+0.242   2              250            16.9099        0.2187         275.2006       -14.1169       0.00           
16.925+0.242   2              350            16.9108        0.2207         275.1992       -14.1151       7.90     
17.082+0.442   6              250            17.1045        0.5316         275.0108       -13.7977       0.00           
17.082+0.442   6              350            17.1043        0.5323         275.0100       -13.7976       2.62 
17.082+0.442   7              250            17.1060        0.5473         274.9972       -13.7890       0.00           
17.082+0.442   7              350            17.1066        0.5471         274.9977       -13.7886       2.28
18.287-0.256   2              250            18.2734        -0.2830        276.3146       -13.1480       0.00           
18.287-0.256   2              350            18.2747        -0.2826        276.3149       -13.1467       4.90
18.287-0.256   5              250            18.2481        -0.2070        276.2335       -13.1349       0.00           
18.287-0.256   5              350            18.2473        -0.2065        276.2327       -13.1354       3.40 
18.287-0.256   7              250            18.2758        -0.2344        276.2717       -13.1232       0.00           
18.287-0.256   7              350            18.2771        -0.2375        276.2751       -13.1235       12.10 
18.287-0.256   8              250            18.3011        -0.2663        276.3128       -13.1157       0.00           
18.287-0.256   8              350            18.3009        -0.2666        276.3129       -13.1161       1.30  
18.287-0.256   9              250            18.2570        -0.1667        276.2012       -13.1082       0.00           
18.287-0.256   9              350            18.2585        -0.1671        276.2023       -13.1070       5.59 
18.326-0.279   1              250            18.3076        -0.3244        276.3686       -13.1371       0.00           
18.326-0.279   1              350            18.3074        -0.3245        276.3686       -13.1374       0.80 
18.366-0.392   1              250            18.3492        -0.3706        276.4305       -13.1219       0.00           
18.366-0.392   1              350            18.3496        -0.3698        276.4300       -13.1212       3.22 
18.366-0.392   2              250            18.3734        -0.3950        276.4643       -13.1119       0.00           
18.366-0.392   2              350            18.3740        -0.3951        276.4647       -13.1114       2.19  
18.681-0.051   1              250            18.6776        -0.0538        276.3004       -12.6836       0.00           
18.681-0.051   1              350            18.6778        -0.0530        276.2998       -12.6830       2.97  
18.69-0.383    1              250            18.6830        -0.3741        276.5935       -12.8283       0.00           
18.69-0.383    1              350            18.6857        -0.3755        276.5960       -12.8265       10.95  
18.854+0.713   1              250            18.8455        0.6814         275.7157       -12.1910       0.00           
18.854+0.713   1              350            18.8458        0.6803         275.7168       -12.1913       4.10   
18.886+0.068   5              250            18.9063        0.0303         276.3337       -12.4421       0.00           
18.886+0.068   5              350            18.9059        0.0306         276.3332       -12.4423       1.80  
18.886+0.068   6              250            18.9080        0.0417         276.3242       -12.4353       0.00           
18.886+0.068   6              350            18.9075        0.0404         276.3251       -12.4363       5.01  
18.886+0.068   11             250            18.9510        0.0545         276.3332       -12.3913       0.00           
18.886+0.068   11             350            18.9513        0.0533         276.3344       -12.3916       4.45 
18.927-0.524   1              250            18.9162        -0.5153        276.8329       -12.6877       0.00           
18.927-0.524   1              350            18.9172        -0.5155        276.8336       -12.6869       3.67         
18.927-0.524   3              250            18.9216        -0.4847        276.8078       -12.6687       0.00           
18.927-0.524   3              350            18.9219        -0.4844        276.8076       -12.6683       1.53     
18.997+0.014   1              250            19.0043        -0.0090        276.4161       -12.3738       0.00           
18.997+0.014   1              350            19.0039        -0.0081        276.4151       -12.3737       3.55 
19.041-0.515   1              250            19.0435        -0.5360        276.9124       -12.5847       0.00           
19.041-0.515   1              350            19.0418        -0.5361        276.9117       -12.5862       6.13  
19.082-0.291   3              250            19.0929        -0.2856        276.7090       -12.4244       0.00           
19.082-0.291   3              350            19.0936        -0.2857        276.7094       -12.4238       2.55  
19.42-0.089    1              250            19.4134        -0.1174        276.7094       -12.0624       0.00           
