-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    map        source        mass        luminosity      radius      temperature      err_temp         chisq          distance             glon            glat              ra               dec     
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086       2        40.5864        29.2203       0.508097        15.4805        1.35500         1.52221         2.93000          15.0245     0.0952000       274.391      -15.8367
15.221-0.427       1        1150.50        335.873       0.370229        12.4172       0.835217         2.97627         2.29000          15.2001     -0.441200       274.968      -15.9357
15.221-0.427       2        63.9336        43.1826       0.353960        15.7869        1.53746       0.0859908         2.29000          15.1937     -0.422900       274.948      -15.9328
15.221-0.427       3        333.473        101.330       0.358763        12.8807       0.927345        0.830868         2.29000          15.2204     -0.426100       274.964      -15.9108
15.631-0.377       1        422.063        18.6650       0.538155        9.12409       0.477956     7.68265e-06         3.47000          15.6314     -0.376300       275.120      -15.5249
15.715-0.597       1        259.566        41.5078       0.292153        11.2345       0.689263         1.35606         1.92000          15.7090     -0.580400       275.345      -15.5526
15.715-0.597       2        398.899        51.5877       0.263821        10.7228       0.621205         1.87860         1.92000          15.7182     -0.593800       275.362      -15.5507
16.305-0.072       1        93.6345        86.0863       0.507348        16.7384        1.64674        0.406634         3.75000          16.3210    -0.0568000       275.165      -14.7661
16.335-0.213       2        1763.18        1438.55       0.673258        16.6112        1.80553        0.842735         3.85000          16.3568     -0.212200       275.324      -14.8077
16.36-0.25       1        67.4367        70.5071       0.673258        17.5002        2.40748         7.15800         3.85000          16.3636     -0.243300       275.356      -14.8163
16.386-0.212       4        88.8517        95.9708       0.494244        17.6289        1.89791       0.0171704         3.84000          16.3959     -0.194200       275.327      -14.7648
16.44-0.378       1        1262.67        157.477       0.576931        10.6516       0.612742         1.87181         3.76000          16.4431     -0.383400       275.522      -14.8121
16.475-0.184       2        221.210        43.4739       0.406400        12.1040       0.909764        0.607971         2.75000          16.4769     -0.182400       275.355      -14.6877
16.941+0.458       2        78.8029        21.0571       0.410950        12.7942       0.965691      0.00280074         2.35000          16.9284      0.462500       274.988      -13.9856
16.975-0.219       1        1695.42        118.560       0.665210        9.46612       0.475005         3.27787         4.13000          16.9750     -0.223200       275.634      -14.2672
16.975-0.219       2        302.466        50.6952       0.651148        11.6812       0.814729        0.113002         4.13000          16.9904     -0.222700       275.641      -14.2534
17.029+0.334       1        554.886        28.1841       0.334546        9.24162       0.470813        0.479918         2.24000          17.0309      0.335100       275.154      -13.9553
17.082+0.442       1        76.5681        62.3418       0.387434        14.7256        1.18881         7.26746         2.31000          16.9984      0.418200       275.062      -13.9448
17.082+0.442       7        7.52133        37.9786       0.335090        27.4526        4.86538         1.12085         2.31000          17.1360      0.561000       274.999      -13.7561
17.252+0.375       2        52.5655        8.16646       0.297304        10.9398       0.640466         3.13895         1.90000          17.2702      0.386700       275.223      -13.7199
17.45-0.198       1        122.218        191.106       0.577164        19.6782        2.72371         1.84686         3.93000          17.4594     -0.196400       275.844      -13.8268
17.626+0.157       1        141.197        135.113       0.539682        17.0584        1.75491       0.0558528         3.36000          17.6178      0.172300       275.586      -13.5140
17.644+0.074       1        22.5469        24.3346       0.275364        17.5342        1.84592        0.158326         2.96000          17.6207     0.0527000       275.696      -13.5676
17.656+0.17       2        339.728        170.065       0.386468        14.6223        1.26443       0.0245535         2.21000          17.6535      0.173100       275.602      -13.4821
18.001-0.468       1        406.858        76.8811       0.618631        11.9408       0.843252       0.0332104         3.75000          17.9997     -0.468100       276.352      -13.4764
18.001-0.468       2        122.362        45.0832       0.614668        12.6687       0.863712         5.29160         3.75000          18.0142     -0.458500       276.350      -13.4592
18.021-0.361       1        537.263        85.8442       0.515063        10.8977       0.632784         3.95273         3.38000          18.0205     -0.374300       276.276      -13.4143
