map name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
0.02-0.129     359.9698       -0.1300        359.9685       -0.1296        
0.02-0.129     359.9859       -0.1242        359.9860       -0.1274        
0.02-0.129     359.9964       -0.1202        359.9975       -0.1190        
0.02-0.129     0.0059         -0.1372        0.0067         -0.1361        
0.02-0.129     0.1187         -0.2166        0.1185         -0.2155        
0.02-0.129     0.0818         -0.1365        0.0822         -0.1370        
0.02-0.129     0.1126         -0.1313        0.1128         -0.1322        
0.034-0.255    0.0371         -0.2321        0.0371         -0.2320        
0.035+0.000    0.0014         -0.0250        0.0015         -0.0252        
0.042-0.124    0.0566         -0.1161        0.0572         -0.1157        
0.08-0.72      0.0549         -0.6933        0.0566         -0.6939        
0.08-0.72      0.0510         -0.6700        0.0512         -0.6697        
0.122-0.225    0.0472         -0.2209        0.0466         -0.2204        
0.122-0.225    0.1273         -0.1584        0.1275         -0.1582        
0.134-0.401    0.1270         -0.4060        0.1274         -0.4062        
0.144-0.27     0.1453         -0.2754        0.1464         -0.2744        
0.144-0.572    0.1545         -0.5772        0.1552         -0.5770        
0.16+0.098     0.1295         0.0025         0.1303         0.0028         
0.163-0.057    0.0617         -0.0801        0.0622         -0.0794        
0.163-0.057    0.0353         0.0054         0.0358         0.0055         
0.163-0.057    0.0318         0.0202         0.0329         0.0213         
0.163-0.057    0.0757         -0.0297        0.0761         -0.0304        
0.163-0.057    0.0758         -0.0021        0.0765         -0.0024        
0.163-0.057    0.1398         -0.0856        0.1393         -0.0848        
0.163-0.057    0.0972         -0.0060        0.0977         -0.0052        
0.163-0.057    0.1560         -0.0819        0.1570         -0.0829        
0.163-0.057    0.1108         0.0017         0.1109         0.0021         
0.163-0.432    0.1530         -0.4546        0.1536         -0.4538        
0.181-0.285    0.2094         -0.2542        0.2110         -0.2537        
0.183-0.416    0.2438         -0.4564        0.2440         -0.4560        
0.19-0.566     0.1967         -0.5468        0.1969         -0.5474        
0.287-0.341    0.2846         -0.3460        0.2839         -0.3460        
0.33-0.552     0.2957         -0.5600        0.2959         -0.5598        
0.33-0.552     0.3131         -0.5796        0.3122         -0.5800        
0.341+0.095    0.1746         -0.0338        0.1760         -0.0330        
0.341+0.095    0.2041         -0.0423        0.2052         -0.0419        
0.341+0.095    0.1695         0.0214         0.1699         0.0205         
0.341+0.095    0.2709         -0.0643        0.2709         -0.0634        
0.341+0.095    0.2314         -0.0081        0.2319         -0.0076        
0.341+0.095    0.2851         -0.0592        0.2811         -0.0604        
0.341+0.095    0.3192         -0.0728        0.3201         -0.0734        
0.341+0.095    0.2878         -0.0180        0.2899         -0.0206        
0.341+0.095    0.2833         0.0385         0.2841         0.0386         
0.341+0.095    0.3253         -0.0104        0.3259         -0.0091        
0.341+0.095    0.3084         0.0155         0.3074         0.0168         
0.341+0.095    0.2968         0.0434         0.2970         0.0439         
0.341+0.095    0.3770         0.0164         0.3774         0.0163         
0.344-0.649    0.3739         -0.6963        0.3740         -0.6927        
0.344-0.649    0.4487         -0.7059        0.4487         -0.7062        
0.344-0.649    0.4408         -0.6917        0.4401         -0.6916        
0.344-0.649    0.4133         -0.6137        0.4141         -0.6158        
0.344-0.649    0.4792         -0.7212        0.4788         -0.7216        
0.344-0.649    0.4144         -0.5973        0.4149         -0.5975        
0.344-0.649    0.4361         -0.6169        0.4375         -0.6181        
0.361-0.781    0.3366         -0.7586        0.3357         -0.7596        
0.392-0.238    0.3196         -0.2501        0.3215         -0.2479        
0.392-0.238    0.3602         -0.2629        0.3602         -0.2632        
0.395-0.632    0.3777         -0.6576        0.3771         -0.6570        
0.395-0.632    0.3950         -0.6609        0.3947         -0.6616        
0.413-0.373    0.4443         -0.3713        0.4445         -0.3702        
0.436-0.227    0.4178         -0.2525        0.4177         -0.2526        
0.446-0.307    0.4169         -0.3157        0.4171         -0.3163        
0.446-0.79     0.3692         -0.7422        0.3689         -0.7427        
0.446-0.79     0.4186         -0.7639        0.4179         -0.7629        
0.446-0.79     0.4734         -0.8098        0.4730         -0.8098        
0.467-0.311    0.4726         -0.3527        0.4722         -0.3536        
0.475-0.623    0.4610         -0.7027        0.4613         -0.7014        
0.475-0.623    0.4596         -0.6653        0.4611         -0.6651        
0.489-0.072    0.5092         -0.0798        0.5092         -0.0789        
0.498+0.805    0.4975         0.7982         0.4972         0.7978         
0.498+0.805    0.4975         0.8211         0.5005         0.8176         
0.504+0.716    0.5132         0.7196         0.5133         0.7207         
0.513+0.849    0.5137         0.8506         0.5138         0.8514         
0.516-0.423    0.5030         -0.3696        0.5027         -0.3711        
0.544-0.287    0.5152         -0.3167        0.5158         -0.3168        
0.544-0.287    0.5060         -0.2771        0.5073         -0.2768        
0.544-0.287    0.5401         -0.2963        0.5407         -0.2961        
0.547-0.058    0.5568         -0.0292        0.5576         -0.0279        
0.56+0.817     0.5611         0.8190         0.5613         0.8195         
0.561+0.54     0.5508         0.5706         0.5515         0.5684         
0.589-0.628    0.5930         -0.6500        0.5936         -0.6516        
0.598+0.694    0.6035         0.6938         0.6043         0.6933         
0.598+0.694    0.6780         0.6937         0.6774         0.6937         
