-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
  15.054+0.086      1        15.0114         0.0678       274.4091       -15.8611
  15.054+0.086      2        15.0378         0.0280       274.4585       -15.8568
  15.054+0.086      3        15.0448         0.0320       274.4583       -15.8488
  15.054+0.086      4        15.0434         0.0398       274.4505       -15.8463
  15.054+0.086      5        15.0245         0.0952       274.3905       -15.8367
  15.054+0.086      6        15.0530         0.0825       274.4161       -15.8175
   15.074+0.13      1        15.0782         0.1306       274.3846       -15.7726
   15.074+0.13      2        15.0840         0.1388       274.3799       -15.7635
  15.078-0.259      1        15.0795        -0.2600       274.7428       -15.9564
  15.078-0.259      2        15.0923        -0.2688       274.7572       -15.9493
  15.126-0.491      1        15.1295        -0.4963       274.9840       -16.0240
   15.155-0.48      1        15.1538        -0.4819       274.9828       -15.9958
  15.186-0.132      1        15.1880        -0.1359       274.6825       -15.8022
  15.221-0.427      1        15.2002        -0.4547       274.9806       -15.9420
  15.221-0.427      2        15.2002        -0.4492       274.9756       -15.9395
  15.221-0.427      3        15.2001        -0.4412       274.9682       -15.9357
  15.221-0.427      4        15.1937        -0.4229       274.9483       -15.9328
  15.221-0.427      5        15.2074        -0.4434       274.9738       -15.9304
  15.221-0.427      6        15.2051        -0.4360       274.9659       -15.9289
  15.221-0.427      7        15.2078        -0.4275       274.9594       -15.9225
  15.221-0.427      8        15.2112        -0.4128       274.9476       -15.9126
  15.221-0.427      9        15.2153        -0.4187       274.9550       -15.9118
  15.221-0.427     10        15.2204        -0.4261       274.9643       -15.9108
   15.23-0.474      1        15.2131        -0.4810       275.0110       -15.9431
   15.23-0.474      2        15.2179        -0.4813       275.0137       -15.9390
   15.23-0.474      3        15.2343        -0.4714       275.0127       -15.9199
  15.262-0.156      1        15.2572        -0.1558       274.7348       -15.7506
  15.264-0.203      1        15.2467        -0.2112       274.7804       -15.7861
  15.264-0.203      2        15.2769        -0.2171       274.8005       -15.7623
  15.264-0.203      3        15.2717        -0.1813       274.7653       -15.7499
  15.264-0.203      4        15.2792        -0.1900       274.7769       -15.7474
  15.271-0.125      1        15.2705        -0.1198       274.7083       -15.7219
  15.271-0.125      2        15.2973        -0.1232       274.7246       -15.6999
  15.286+0.168      1        15.2630         0.2093       274.4037       -15.5725
  15.329-0.153      1        15.3209        -0.1926       274.7997       -15.7119
  15.536-0.405      1        15.5206        -0.4169       275.1030       -15.6417
  15.536-0.405      2        15.5417        -0.4451       275.1392       -15.6364
  15.536-0.405      3        15.5296        -0.4062       275.0977       -15.6288
  15.536-0.405      4        15.5629        -0.3865       275.0959       -15.5901
   15.55-0.454      1        15.5499        -0.4555       275.1528       -15.6341
   15.55-0.454      2        15.5585        -0.4633       275.1641       -15.6302
  15.631-0.377      1        15.6314        -0.3763       275.1201       -15.5249
  15.631-0.377      2        15.6586        -0.3826       275.1392       -15.5039
  15.692-0.678      1        15.6862        -0.6793       275.4244       -15.6192
  15.715-0.597      1        15.7090        -0.5804       275.3449       -15.5526
  15.715-0.597      2        15.7182        -0.5938       275.3617       -15.5507
   15.786-0.41      1        15.7867        -0.4291       275.2443       -15.4127
   15.786-0.41      2        15.7958        -0.4145       275.2354       -15.3979
   15.786-0.41      3        15.7956        -0.4046       275.2263       -15.3935
  15.904+0.027      1        15.9096         0.0149       274.8985       -15.0950
  15.904+0.027      2        15.9057         0.0267       274.8860       -15.0929
  15.907-0.147      1        15.9042        -0.1354       275.0333       -15.1707
  16.175-0.197      1        16.1692        -0.2114       275.2320       -14.9728
  16.225+0.446      1        16.2227         0.4496       274.6555       -14.6136
  16.305-0.072      1        16.3255        -0.0681       275.1775       -14.7674
  16.305-0.072      2        16.3241        -0.0629       275.1720       -14.7662
  16.305-0.072      3        16.3210        -0.0568       275.1649       -14.7661
  16.305-0.072      4        16.3353        -0.0758       275.1892       -14.7624
  16.335-0.213      1        16.3373        -0.2236       275.3251       -14.8302
  16.335-0.213      2        16.3568        -0.2122       275.3241       -14.8077
  16.335-0.213      3        16.3632        -0.2060       275.3216       -14.7991
  16.345+0.476      1        16.3456         0.4759       274.6916       -14.4929
    16.36-0.25      1        16.3636        -0.2433       275.3558       -14.8163
  16.361-0.078      1        16.3591        -0.0721       275.1975       -14.7398
  16.379-0.044      1        16.3783        -0.0426       275.1799       -14.7088
  16.386-0.212      1        16.3568        -0.2122       275.3241       -14.8077
  16.386-0.212      2        16.3635        -0.2059       275.3216       -14.7989
  16.386-0.212      3        16.3690        -0.2110       275.3289       -14.7964
  16.386-0.212      4        16.3959        -0.1942       275.3268       -14.7648
  16.386-0.212      5        16.3952        -0.1844       275.3175       -14.7608
  16.386-0.212      6        16.4154        -0.2059       275.3470       -14.7530
  16.386-0.212      7        16.4034        -0.1809       275.3183       -14.7519
  16.386-0.212      8        16.4236        -0.2116       275.3561       -14.7485
  16.386-0.212      9        16.4142        -0.1943       275.3357       -14.7486
  16.386-0.212     10        16.4210        -0.2022       275.3463       -14.7464
   16.44-0.378      1        16.4431        -0.3834       275.5223       -14.8121
   16.44-0.378      2        16.4461        -0.3874       275.5275       -14.8113
  16.447+0.447      1        16.4184         0.4450       274.7553       -14.4434
  16.447+0.447      2        16.4261         0.4459       274.7582       -14.4361
  16.447+0.447      3        16.4891         0.4522       274.7833       -14.3777
  16.447+0.447      4        16.4955         0.4675       274.7724       -14.3648
  16.452+0.415      1        16.4591         0.3914       274.8239       -14.4328
  16.452+0.415      2        16.4651         0.3874       274.8305       -14.4294
  16.452+0.415      3        16.4686         0.4000       274.8207       -14.4203
  16.475-0.184      1        16.4424        -0.2020       275.3565       -14.7273
  16.475-0.184      2        16.4447        -0.1931       275.3495       -14.7212
  16.475-0.184      3        16.4769        -0.1824       275.3554       -14.6877
  16.571-0.367      1        16.5710        -0.3653       275.5680       -14.6906
  16.584-0.082      1        16.5782        -0.0810       275.3122       -14.5506
  16.588-0.053      1        16.5852        -0.0497       275.2871       -14.5297
  16.609-0.234      1        16.6093        -0.2377       275.4702       -14.5968
  16.614-0.357      1        16.6157        -0.3551       275.5804       -14.6464
   16.63-0.063      1        16.6149        -0.0898       275.3381       -14.5224
  16.656+0.106      1        16.6571         0.1062       275.1801       -14.3929
  16.661-0.343      1        16.6615        -0.3312       275.5808       -14.5948
  16.794+0.119      1        16.7990         0.1266       275.2304       -14.2580
  16.852-0.319      1        16.8724        -0.3378       275.6892       -14.4116
  16.883+0.136      1        16.8718         0.1279       275.2646       -14.1933
  16.883+0.136      2        16.8842         0.1288       275.2698       -14.1819
  16.905+0.343      1        16.8956         0.3444       275.0793       -14.0702
  16.915-0.084      1        16.8988        -0.0675       275.4557       -14.2614
  16.915-0.084      2        16.9209        -0.0838       275.4812       -14.2495
  16.915-0.084      3        16.9363        -0.0773       275.4828       -14.2329
  16.925+0.242      1        16.9294         0.2175       275.2111       -14.1002
  16.925+0.242      2        16.9267         0.2857       275.1478       -14.0704
  16.925+0.279      1        16.9267         0.2856       275.1479       -14.0705
  16.932+0.215      1        16.9294         0.2175       275.2111       -14.1002
  16.934+0.282      1        16.9267         0.2857       275.1478       -14.0704
  16.941+0.458      1        16.9433         0.4207       275.0332       -13.9921
  16.941+0.458      2        16.9284         0.4625       274.9879       -13.9856
  16.941+0.458      3        16.9190         0.4817       274.9660       -13.9848
  16.941+0.458      4        16.9541         0.4378       275.0229       -13.9746
  16.965-0.095      1        16.9446        -0.0732       275.4831       -14.2236
  16.975-0.219      1        16.9750        -0.2232       275.6344       -14.2672
  16.975-0.219      2        16.9904        -0.2227       275.6414       -14.2534
  16.975-0.219      3        16.9822        -0.1979       275.6149       -14.2490
  17.022+0.279      1        17.0142         0.2798       275.1956       -13.9961
  17.022+0.279      2        17.0285         0.2809       275.2016       -13.9829
  17.029+0.334      1        17.0309         0.3351       275.1535       -13.9553
   17.03+0.428      1        17.0312         0.4284       275.0689       -13.9110
  17.082+0.442      1        16.9984         0.4182       275.0622       -13.9448
  17.082+0.442      2        17.0312         0.4284       275.0689       -13.9110
  17.082+0.442      3        17.0388         0.4773       275.0281       -13.8813
  17.082+0.442      4        17.0910         0.4043       275.1198       -13.8697
  17.082+0.442      5        17.0965         0.4118       275.1156       -13.8613
  17.082+0.442      6        17.1069         0.4702       275.0677       -13.8246
  17.082+0.442      7        17.0949         0.5243       275.0127       -13.8096
  17.082+0.442      8        17.0917         0.5385       274.9983       -13.8057
  17.082+0.442      9        17.1039         0.5368       275.0057       -13.7958
  17.082+0.442     10        17.1189         0.5520       274.9992       -13.7754
  17.082+0.442     11        17.1410         0.5455       275.0158       -13.7590
  17.082+0.442     12        17.1360         0.5610       274.9994       -13.7561
  17.093+0.407      1        17.0902         0.3985       275.1246       -13.8731
  17.096+0.412      1        17.0965         0.4118       275.1156       -13.8613
    17.1+0.517      1        17.0949         0.5243       275.0127       -13.8096
  17.211+0.782      1        17.1703         0.8134       274.7870       -13.6067
  17.211+0.782      2        17.2183         0.7812       274.8396       -13.5795
  17.211+0.782      3        17.2179         0.8203       274.8040       -13.5615
  17.211+0.782      4        17.2202         0.8264       274.7996       -13.5565
  17.231+0.312      1        17.2328         0.3101       275.2742       -13.7890
  17.252+0.375      1        17.2473         0.3436       275.2508       -13.7604
  17.252+0.375      2        17.2241         0.3961       275.1918       -13.7561
  17.252+0.375      3        17.2702         0.3867       275.2227       -13.7199
  17.399+0.462      1        17.3943         0.4467       275.2285       -13.5822
   17.45-0.198      1        17.4594        -0.1964       275.8443       -13.8268
  17.471-0.216      1        17.4748        -0.2354       275.8871       -13.8315
  17.471-0.216      2        17.4596        -0.1968       275.8447       -13.8269
  17.471-0.216      3        17.4708        -0.2136       275.8654       -13.8249
  17.532+0.229      1        17.5261         0.2195       275.4985       -13.5728
  17.626+0.157      1        17.6178         0.1723       275.5856       -13.5140
  17.626+0.157      2        17.6296         0.1568       275.6054       -13.5109
  17.626+0.157      3        17.6259         0.1640       275.5971       -13.5108
  17.626+0.157      4        17.6382         0.1556       275.6107       -13.5039
  17.626+0.157      5        17.6502         0.1510       275.6207       -13.4954
  17.644+0.074      1        17.6244         0.0403       275.7087       -13.5702
  17.644+0.074      2        17.6207         0.0527       275.6957       -13.5676
  17.644+0.074      3        17.6301         0.0524       275.7005       -13.5595
  17.649+0.223      1        17.6421         0.2258       275.5488       -13.4675
   17.656+0.17      1        17.6296         0.1568       275.6054       -13.5109
   17.656+0.17      2        17.6382         0.1556       275.6107       -13.5039
   17.656+0.17      3        17.6535         0.1731       275.6022       -13.4821
  17.679+0.238      1        17.6715         0.2299       275.5593       -13.4395
  17.679+0.238      2        17.6884         0.2379       275.5602       -13.4209
  17.679+0.238      3        17.6810         0.2497       275.5459       -13.4219
  17.679+0.238      4        17.6929         0.2480       275.5532       -13.4122
  17.956-0.409      1        17.9501        -0.4070       276.2721       -13.4918
  17.957+0.083      1        17.9578         0.0855       275.8284       -13.2545
  17.957+0.083      2        17.9638         0.0787       275.8374       -13.2524
  17.968-0.344      1        17.9669        -0.3630       276.2401       -13.4564
  17.991-0.348      1        17.9916        -0.3471       276.2376       -13.4272
  17.991-0.348      2        18.0054        -0.3483       276.2453       -13.4155
