-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
   0.001+0.969      1         0.0027         0.9526       265.4820       -28.4344
   0.001-0.201      1         0.0085        -0.2585       266.6625       -29.0633
    0.02-0.129      1       359.9685        -0.1296       266.5127       -29.0306
    0.02-0.129      2       359.9860        -0.1274       266.5211       -29.0144
    0.02-0.129      3         0.0466        -0.2204       266.6479       -29.0110
    0.02-0.129      4         0.0067        -0.1361       266.5418       -29.0013
    0.02-0.129      5       359.9975        -0.1190       266.5196       -29.0002
    0.02-0.129      6         0.0627        -0.2201       266.6572       -28.9971
    0.02-0.129      7         0.0544        -0.2086       266.6409       -28.9982
    0.02-0.129      8         0.0073        -0.1050       266.5118       -28.9846
    0.02-0.129      9         0.0438        -0.1361       266.5639       -28.9696
    0.02-0.129     10         0.1190        -0.2365       266.7066       -28.9574
    0.02-0.129     11         0.0674        -0.1434       266.5850       -28.9533
    0.02-0.129     12         0.1185        -0.2155       266.6857       -28.9470
    0.02-0.129     13         0.0764        -0.1468       266.5937       -28.9473
    0.02-0.129     14         0.0572        -0.1157       266.5519       -28.9475
    0.02-0.129     15         0.0975        -0.1653       266.6243       -28.9389
    0.02-0.129     16         0.0822        -0.1370       266.5876       -28.9373
    0.02-0.129     17         0.0927        -0.1307       266.5877       -28.9250
    0.02-0.129     18         0.0623        -0.0794       266.5195       -28.9244
    0.02-0.129     19         0.0864        -0.1075       266.5612       -28.9183
    0.02-0.129     20         0.0784        -0.0918       266.5412       -28.9170
    0.02-0.129     21         0.1275        -0.1582       266.6352       -28.9096
    0.02-0.129     22         0.1169        -0.1412       266.6122       -28.9098
    0.02-0.129     23         0.0960        -0.1087       266.5682       -28.9108
    0.02-0.129     24         0.0739        -0.0735       266.5207       -28.9113
    0.02-0.129     25         0.1128        -0.1322       266.6010       -28.9086
    0.02-0.129     26         0.1003        -0.0819       266.5445       -28.8931
    0.02-0.129     27         0.1193        -0.1114       266.5846       -28.8923
    0.02-0.129     28         0.1383        -0.1384       266.6222       -28.8901
    0.02-0.129     29         0.1322        -0.1291       266.6095       -28.8904
   0.023-0.016      1         0.0172        -0.0503       266.4643       -28.9477
   0.029+0.006      1         0.0315        -0.0312       266.4542       -28.9255
   0.031+0.156      1         0.0225         0.1567       266.2657       -28.8352
   0.034+1.099      1         0.0385         1.0732       265.3871       -28.3403
   0.034-0.255      1         0.0371        -0.2320       266.6536       -29.0251
   0.035+0.000      1         0.0015        -0.0252       266.4305       -28.9480
   0.035+0.000      2         0.0200        -0.0510       266.4666       -28.9457
   0.035+0.000      3         0.0131        -0.0193       266.4316       -28.9351
   0.035+0.000      4         0.0622        -0.0794       266.5194       -28.9244
   0.035+0.000      5         0.0739        -0.0735       266.5207       -28.9114
   0.035+0.000      6         0.0835        -0.0099       266.4643       -28.8700
   0.035+0.000      7         0.0977        -0.0051       266.4681       -28.8554
   0.042-0.124      1         0.0438        -0.1361       266.5639       -28.9696
   0.042-0.124      2         0.0674        -0.1434       266.5850       -28.9533
   0.044-0.449      1       359.9946        -0.4737       266.8649       -29.1868
   0.044-0.449      2       359.9914        -0.4606       266.8502       -29.1827
   0.047+0.115      1         0.0308         0.0984       266.3274       -28.8586
   0.055-0.212      1         0.0466        -0.2204       266.6479       -29.0110
   0.057+0.068      1         0.0697         0.0487       266.3990       -28.8513
   0.059-0.564      1         0.0500        -0.5495       266.9720       -29.1786
   0.059-0.564      2         0.0573        -0.5576       266.9843       -29.1765
   0.059-0.564      3         0.0718        -0.5525       266.9878       -29.1615
     0.08-0.72      1         0.0566        -0.6939       267.1176       -29.2476
     0.08-0.72      2         0.0512        -0.6697       267.0906       -29.2396
   0.084-0.641      1         0.0903        -0.6635       267.1077       -29.2029
   0.084-0.641      2         0.0841        -0.6412       267.0821       -29.1967
   0.084-0.641      3         0.1126        -0.6786       267.1357       -29.1917
   0.091+0.318      1         0.0951         0.3186       266.1515       -28.6888
   0.096+0.989      1         0.0979         0.9714       265.5208       -28.3436
   0.108-0.522      1         0.1132        -0.5459       267.0059       -29.1227
   0.122-0.225      1         0.0627        -0.2201       266.6572       -28.9971
   0.122-0.225      2         0.0544        -0.2086       266.6409       -28.9982
   0.122-0.225      3         0.0398        -0.1861       266.6103       -28.9990
   0.122-0.225      4         0.0702        -0.1978       266.6398       -28.9791
   0.122-0.225      5         0.1190        -0.2365       266.7066       -28.9575
   0.122-0.225      6         0.1185        -0.2155       266.6857       -28.9470
   0.122-0.225      7         0.0975        -0.1653       266.6243       -28.9389
   0.122-0.225      8         0.1275        -0.1582       266.6352       -28.9096
   0.122-0.225      9         0.1169        -0.1412       266.6122       -28.9098
   0.122-0.225     10         0.1131        -0.1328       266.6018       -28.9087
   0.122-0.225     11         0.1391        -0.1378       266.6221       -28.8891
   0.122-0.225     12         0.1329        -0.1292       266.6101       -28.8899
   0.122-0.225     13         0.1712        -0.1381       266.6414       -28.8618
   0.122-0.225     14         0.1897        -0.1677       266.6813       -28.8614
   0.133-0.495      1         0.1380        -0.4898       266.9656       -29.0724
   0.134-0.401      1         0.1274        -0.4062       266.8775       -29.0383
    0.14+0.018      1         0.1422         0.0053       266.4844       -28.8120
    0.14+0.018      2         0.1398         0.0202       266.4684       -28.8063
    0.14+0.018      3         0.1638         0.0664       266.4377       -28.7618
    0.14+0.018      4         0.2077        -0.0002       266.5286       -28.7589
    0.14+0.018      5         0.1630         0.0787       266.4253       -28.7560
    0.14+0.018      6         0.2045         0.0523       266.4756       -28.7344
    0.14+0.018      7         0.1874         0.0811       266.4374       -28.7340
    0.144-0.27      1         0.1464        -0.2744       266.7598       -28.9537
   0.144-0.572      1         0.1552        -0.5770       267.0612       -29.1027
   0.152+0.957      1         0.1347         0.9416       265.5717       -28.3281
   0.152+0.957      2         0.1415         0.9576       265.5603       -28.3139
   0.152-0.453      1         0.1164        -0.4683       266.9318       -29.0798
   0.152-0.453      2         0.1667        -0.4459       266.9396       -29.0252
    0.16+0.098      1         0.0761        -0.0304       266.4799       -28.8870
    0.16+0.098      2         0.0505         0.0281       266.4076       -28.8784
