-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
  0-0.434_70mu      1       359.9926        -0.4392       266.8299       -29.1706
   0.001-0.201      1         0.0367        -0.2320       266.6533       -29.0255
    0.02-0.129      1       359.9698        -0.1300       266.5139       -29.0297
    0.02-0.129      2         0.0371        -0.2321       266.6537       -29.0252
    0.02-0.129      3       359.9867        -0.1307       266.5246       -29.0155
    0.02-0.129      4         0.0468        -0.2210       266.6486       -29.0111
    0.02-0.129      5       359.9859        -0.1242       266.5178       -29.0129
    0.02-0.129      6         0.0414        -0.2067       266.6314       -29.0084
    0.02-0.129      7       359.9964        -0.1202       266.5201       -29.0018
    0.02-0.129      8         0.0059        -0.1372       266.5423       -29.0026
    0.02-0.129      9         0.0612        -0.2210       266.6572       -28.9988
    0.02-0.129     10         0.0550        -0.2107       266.6434       -28.9988
    0.02-0.129     11         0.0135        -0.1304       266.5403       -28.9926
    0.02-0.129     12         0.0043        -0.1127       266.5175       -28.9912
    0.02-0.129     13         0.0100        -0.1065       266.5149       -28.9831
    0.02-0.129     14         0.0435        -0.1361       266.5636       -28.9699
    0.02-0.129     15         0.0255        -0.0923       266.5103       -28.9625
    0.02-0.129     16         0.0663        -0.1437       266.5846       -28.9544
    0.02-0.129     17         0.0561        -0.1156       266.5511       -28.9484
    0.02-0.129     18         0.1187        -0.2166       266.6870       -28.9474
    0.02-0.129     19         0.0762        -0.1476       266.5943       -28.9479
    0.02-0.129     20         0.0445        -0.0920       266.5212       -28.9461
    0.02-0.129     21         0.0973        -0.1659       266.6247       -28.9394
    0.02-0.129     22         0.0620        -0.1065       266.5458       -28.9387
    0.02-0.129     23         0.0818        -0.1365       266.5869       -28.9374
    0.02-0.129     24         0.0504        -0.0804       266.5134       -28.9350
    0.02-0.129     25         0.0721        -0.1026       266.5479       -28.9280
    0.02-0.129     26         0.0921        -0.1313       266.5879       -28.9259
    0.02-0.129     27         0.0617        -0.0801       266.5199       -28.9252
    0.02-0.129     28         0.1355        -0.2004       266.6810       -28.9247
    0.02-0.129     29         0.1095        -0.1566       266.6229       -28.9242
    0.02-0.129     30         0.0860        -0.1181       266.5713       -28.9242
    0.02-0.129     31         0.1035        -0.1416       266.6047       -28.9214
    0.02-0.129     32         0.0851        -0.1068       266.5598       -28.9190
    0.02-0.129     33         0.0777        -0.0937       266.5427       -28.9186
    0.02-0.129     34         0.0622        -0.0706       266.5108       -28.9198
    0.02-0.129     35         0.1190        -0.1543       266.6263       -28.9148
    0.02-0.129     36         0.0953        -0.1084       266.5674       -28.9112
    0.02-0.129     37         0.1167        -0.1422       266.6131       -28.9105
    0.02-0.129     38         0.0906        -0.0972       266.5537       -28.9094
    0.02-0.129     39         0.0807        -0.0842       266.5351       -28.9111
    0.02-0.129     40         0.0737        -0.0731       266.5201       -28.9113
    0.02-0.129     41         0.1273        -0.1584       266.6352       -28.9098
    0.02-0.129     42         0.1126        -0.1313       266.6001       -28.9084
    0.02-0.129     43         0.0875        -0.0817       266.5367       -28.9040
    0.02-0.129     44         0.0808        -0.0723       266.5236       -28.9048
    0.02-0.129     45         0.1200        -0.1234       266.5967       -28.8979
    0.02-0.129     46         0.0990        -0.0816       266.5435       -28.8941
    0.02-0.129     47         0.1191        -0.1115       266.5845       -28.8925
    0.02-0.129     48         0.1382        -0.1390       266.6228       -28.8905
    0.02-0.129     49         0.1316        -0.1291       266.6091       -28.8910
    0.02-0.129     50         0.1069        -0.0869       266.5533       -28.8901
    0.02-0.129     51         0.0919        -0.0611       266.5193       -28.8895
   0.023-0.016      1         0.0192        -0.0315       266.4472       -28.9362
   0.023-0.016      2         0.0430        -0.0199       266.4500       -28.9098
   0.029+0.006      1         0.0558         0.0225       266.4163       -28.8769
   0.031+0.156      1         0.0221         0.1570       266.2652       -28.8354
   0.034+1.099      1         0.0392         1.0748       265.3858       -28.3389
   0.034-0.255      1         0.0371        -0.2321       266.6537       -29.0252
   0.034-0.255      2         0.0483        -0.2200       266.6485       -29.0094
   0.035+0.000      1         0.0134        -0.0524       266.4640       -28.9521
   0.035+0.000      2         0.0014        -0.0250       266.4302       -28.9480
   0.035+0.000      3         0.0206        -0.0512       266.4672       -28.9453
   0.035+0.000      4         0.0617        -0.0801       266.5199       -28.9252
   0.035+0.000      5         0.0202        -0.0075       266.4243       -28.9229
