map_name      250 glon       250 glat       350 glon       350 glat       
------------------------------------------------------------------------
0.08-0.72      0.0549         -0.6933        0.0566         -0.6939        
0.134-0.401    0.1270         -0.4060        0.1274         -0.4062        
0.341+0.095    0.2833         0.0385         0.2841         0.0386         
0.341+0.095    0.2968         0.0434         0.2970         0.0439         
11.232-0.101   11.2314        -0.1005        11.2319        -0.0996        
11.24+0.064    11.2418        0.0656         11.2416        0.0658         
11.304-0.06    11.3073        -0.0608        11.3067        -0.0599        
11.333-0.535   11.3336        -0.5342        11.3327        -0.5341        
12.499-0.177   12.5010        -0.1771        12.4998        -0.1780        
14.143-0.413   14.1437        -0.4142        14.1438        -0.4145        
14.185-0.745   14.1861        -0.7449        14.1872        -0.7454        
14.232-0.181   14.2370        -0.1637        14.2364        -0.1634        
14.572-0.78    14.5687        -0.7820        14.5699        -0.7807        
15.907-0.147   15.9082        -0.1460        15.9080        -0.1449        
17.082+0.442   17.0823        0.4456         17.0836        0.4471         
18.5-0.183     18.4994        -0.1808        18.4993        -0.1808        
18.907-0.09    18.9070        -0.0934        18.9059        -0.0924        
18.974-0.262   18.9660        -0.2676        18.9664        -0.2673        
19.42-0.089    19.4033        -0.0809        19.4036        -0.0801        
20.031-0.706   20.0309        -0.7076        20.0318        -0.7068        
22.31-0.628    22.3098        -0.6268        22.3081        -0.6263        
22.729+0.126   22.7277        0.1261         22.7276        0.1263         
23.066+0.049   23.0689        0.0483         23.0687        0.0485         
23.294-0.202   23.2784        -0.2150        23.2773        -0.2152        
23.296+0.055   23.2957        0.0548         23.2966        0.0550         
23.378+0.098   23.3790        0.0991         23.3777        0.1000         
23.477-0.536   23.4804        -0.5441        23.4804        -0.5422        
23.477-0.536   23.4793        -0.5343        23.4796        -0.5329        
23.575-0.165   23.5756        -0.1653        23.5759        -0.1650        
23.797-0.001   23.8077        0.0040         23.8078        0.0038         
24.097+0.349   24.0799        0.3451         24.0810        0.3446         
24.368-0.435   24.3753        -0.4367        24.3755        -0.4355        
24.373-0.157   24.3657        -0.1670        24.3657        -0.1666        
24.964-0.173   24.9636        -0.1714        24.9645        -0.1721        
24.964-0.173   24.9935        -0.0993        24.9944        -0.0995        
25.046-0.183   25.0483        -0.1813        25.0472        -0.1805        
25.075+0.202   25.0753        0.2019         25.0754        0.2023         
25.236+0.451   25.2369        0.4516         25.2372        0.4515         
25.266+0.38    25.2706        0.3797         25.2705        0.3796         
25.383-0.303   25.3860        -0.3023        25.3868        -0.3018        
26.432-0.662   26.4181        -0.6421        26.4185        -0.6414        
26.657-0.075   26.6579        -0.0753        26.6585        -0.0749        
26.736+0.213   26.7357        0.2266         26.7361        0.2271         
28.087+0.067   28.0887        0.0687         28.0883        0.0693         
28.275-0.163   28.2726        -0.1669        28.2737        -0.1658        
28.333+0.063   28.3552        0.0724         28.3562        0.0732         
28.394-0.113   28.3943        -0.1136        28.3933        -0.1135        
28.482-0.371   28.4858        -0.3703        28.4832        -0.3706        
28.566-0.339   28.5140        -0.3741        28.5145        -0.3741        
28.714+0.143   28.6619        0.1469         28.6614        0.1467         
29.174-0.496   29.1759        -0.4967        29.1757        -0.4961        
3.449-0.247    3.4533         -0.1934        3.4541         -0.1910        
30.314-0.137   30.3155        -0.1378        30.3161        -0.1379        
30.578-0.252   30.5828        -0.2104        30.5831        -0.2110        
30.615+0.237   30.6130        0.2353         30.6151        0.2375         
30.664-0.423   30.6639        -0.4133        30.6654        -0.4157        
31.238+0.063   31.2391        0.0633         31.2397        0.0637         
31.946+0.076   31.9356        0.0918         31.9361        0.0917         
310.398-0.28   310.4002       -0.2895        310.4009       -0.2895        
310.696+0.01   310.6775       0.0111         310.6800       0.0128         
312.291+0.17   312.2832       0.1934         312.2829       0.1931         
313.759-0.12   313.7597       -0.1241        313.7599       -0.1238        
313.872+0.05   313.8737       0.0526         313.8745       0.0531         
316.484-0.61   316.4245       -0.6321        316.4252       -0.6318        
32.036-0.331   32.0347        -0.3288        32.0348        -0.3285        
326.491-0.15   326.4762       -0.1343        326.4766       -0.1344        
326.501-0.48   326.4541       -0.4315        326.4543       -0.4312        
327.021-0.16   327.0196       -0.1607        327.0208       -0.1608        
327.936+0.51   327.9375       0.5116         327.9384       0.5124         
328.086-0.10   328.0733       -0.1286        328.0732       -0.1283        
328.728+0.39   328.7178       0.3890         328.7169       0.3897         
328.854+0.75   328.8549       0.7526         328.8556       0.7525         
