map_name       250 glon       250 glat       350 glon       350 glat       
----------------------------------------------------------------------
0.144-0.27     0.1453         -0.2754        0.1464         -0.2744        
0.144-0.572    0.1545         -0.5772        0.1552         -0.5770        
0.163-0.057    0.0353         0.0054         0.0358         0.0055         
0.163-0.057    0.0757         -0.0297        0.0761         -0.0304        
0.739-0.103    0.7361         -0.0960        0.7366         -0.0954        
1.826-0.151    1.8518         -0.1478        1.8519         -0.1463        
1.977-0.633    1.9643         -0.6344        1.9656         -0.6341        
10.65-0.444    10.6208        -0.4211        10.6213        -0.4210        
10.755-0.189   10.7564        -0.1881        10.7576        -0.1884        
10.993-0.171   11.0046        -0.1717        11.0050        -0.1715        
11.803-0.801   11.8048        -0.8001        11.8041        -0.8003        
12.218+0.137   12.2235        0.1400         12.2198        0.1377         
12.462-0.149   12.4638        -0.1482        12.4634        -0.1471        
14.262-0.213   14.2648        -0.2150        14.2653        -0.2151        
14.381-0.456   14.3891        -0.4596        14.3885        -0.4581        
17.082+0.442   17.1277        0.5021         17.1276        0.5025         
18.906-0.152   18.9068        -0.1512        18.9066        -0.1502        
19.137-0.056   19.1246        -0.0529        19.1246        -0.0528        
19.137-0.056   19.1358        -0.0559        19.1363        -0.0550        
2.398-0.02     2.3904         -0.0002        2.3893         -0.0013        
2.484-0.525    2.4860         -0.5163        2.4867         -0.5169        
2.662-0.026    2.6601         -0.0158        2.6605         -0.0162        
22.56-0.213    22.5606        -0.2147        22.5606        -0.2135        
23.14-0.326    23.1244        -0.3330        23.1253        -0.3330        
23.234-0.27    23.2351        -0.2677        23.2347        -0.2680        
23.252+0.017   23.2255        0.0072         23.2259        0.0073         
23.252+0.017   23.2523        0.0184         23.2518        0.0188         
23.382-0.022   23.3814        -0.0207        23.3819        -0.0206        
23.423-0.103   23.3192        -0.1071        23.3196        -0.1071        
23.534-0.634   23.5396        -0.6386        23.5396        -0.6374        
23.923-0.208   23.9250        -0.2081        23.9244        -0.2078        
24.493-0.502   24.4937        -0.4991        24.4943        -0.4997        
24.551+0.126   24.5452        0.1255         24.5463        0.1267         
24.689-0.127   24.6915        -0.1243        24.6912        -0.1240        
24.813-0.107   24.8172        -0.1285        24.8170        -0.1288        
25.076+0.182   25.0766        0.1828         25.0767        0.1826         
25.674-0.123   25.6642        -0.1190        25.6644        -0.1189        
26.25-0.03     26.2508        -0.0306        26.2514        -0.0305        
26.432-0.662   26.4341        -0.6617        26.4350        -0.6624        
26.432-0.662   26.4535        -0.6755        26.4541        -0.6753        
26.532-0.103   26.4798        -0.0605        26.4796        -0.0604        
26.952+0.185   26.9513        0.1838         26.9530        0.1846         
27.131-0.622   27.1250        -0.6213        27.1252        -0.6211        
27.755-0.268   27.7489        -0.2688        27.7501        -0.2686        
27.832-0.338   27.8235        -0.3557        27.8241        -0.3543        
28.073+0.116   28.0749        0.1171         28.0756        0.1162         
28.361+0.144   28.3664        0.1215         28.3677        0.1231         
28.447-0.329   28.4457        -0.3166        28.4443        -0.3150        
28.733+0.099   28.7179        0.1441         28.7175        0.1444         
28.986+0.024   28.9866        0.0236         28.9865        0.0247         
29.103-0.61    29.1025        -0.6100        29.1030        -0.6093        
29.284-0.629   29.3131        -0.6120        29.3133        -0.6125        
30.807-0.031   30.7803        -0.0909        30.7788        -0.0901        
30.895+0.134   30.8944        0.1390         30.8945        0.1390         
305.48-0.384   305.4105       -0.3416        305.4112       -0.3413        
306.959-0.00   306.9668       -0.0439        306.9665       -0.0432        
308.985-0.45   308.9846       -0.4591        308.9847       -0.4589        
309.308-0.21   309.2937       -0.1980        309.2927       -0.1985        
31.023-0.111   31.0237        -0.1114        31.0247        -0.1121        
312.385-0.10   312.3569       -0.0281        312.3568       -0.0278        
312.979+0.15   312.9806       0.1512         312.9795       0.1525         
313.887+0.15   313.8886       0.1509         313.8908       0.1502         
314.315-0.04   314.3154       -0.0495        314.3161       -0.0494        
316.786-0.04   316.7198       0.0914         316.7193       0.0914         
317.41+0.118   317.3981       0.2008         317.3980       0.2010         
317.449-0.61   317.4506       -0.6210        317.4523       -0.6207        
318.617-0.34   318.6197       -0.3416        318.6197       -0.3424        
32.635-0.255   32.6517        -0.2486        32.6512        -0.2491        
321.642+0.07   321.6426       0.0773         321.6441       0.0773         
324.142+0.23   324.1793       0.1778         324.1777       0.1791         
325.838-0.22   325.8401       -0.2257        325.8410       -0.2250        
325.94+0.068   325.9587       0.0769         325.9590       0.0764         
326.413+0.39   326.4129       0.3934         326.4132       0.3935         
326.786-0.75   326.7873       -0.7584        326.7860       -0.7568        
326.89-0.35    326.8555       -0.3567        326.8554       -0.3582        
327.021-0.16   327.0382       -0.1733        327.0385       -0.1729        
327.816-0.45   327.8142       -0.4495        327.8153       -0.4488        
329.648+0.95   329.6490       0.9558         329.6487       0.9561         
331.38+0.149   331.3441       0.1395         331.3444       0.1395         
331.38+0.149   331.3305       0.1821         331.3316       0.1829         
331.501-0.29   331.4571       -0.3347        331.4578       -0.3341        
331.504+0.15   331.5084       0.1530         331.5080       0.1545         
331.569-0.22   331.5337       -0.2267        331.5330       -0.2252        
331.853-0.13   331.8995       -0.1271        331.8994       -0.1259        
331.914-0.08   331.8963       -0.0913        331.8970       -0.0915        
332.127+0.01   332.1215       0.0206         332.1229       0.0193         
332.665-0.13   332.6662       -0.1390        332.6657       -0.1371        
333.136+0.68   333.1360       0.6855         333.1356       0.6844         
333.97+0.17    333.9462       0.1839         333.9477       0.1833         
334.535+0.12   334.5427       0.1383         334.5424       0.1384         
335.083+0.15   335.0843       0.1531         335.0842       0.1539         
335.125-0.26   335.0826       -0.2502        335.0825       -0.2500        
335.213-0.06   335.2117       -0.0674        335.2118       -0.0683        
335.347-0.28   335.2848       -0.2924        335.2841       -0.2924        
335.432-0.28   335.4326       -0.2896        335.4330       -0.2891        
335.749+0.05   335.7585       0.0485         335.7583       0.0490         
336.337+0.06   336.3027       0.0828         336.3025       0.0836         
336.608+0.34   336.6184       0.3347         336.6187       0.3339         
336.897-0.02   336.8672       0.0671         336.8676       0.0685         
336.928-0.94   336.9276       -0.9433        336.9280       -0.9436        
337.122-0.37   337.1929       -0.3995        337.1933       -0.3994        
337.536+0.06   337.5232       0.0663         337.5237       0.0655         
338.22-0.133   338.2227       -0.1331        338.2214       -0.1325        
338.301-0.47   338.3024       -0.4789        338.3025       -0.4780        
338.476-0.42   338.4769       -0.4289        338.4757       -0.4274        
338.731-0.46   338.6875       -0.4583        338.6870       -0.4579        
338.806-0.48   338.8050       -0.4843        338.8031       -0.4858        
338.816-0.35   338.8188       -0.3697        338.8192       -0.3698        
339.58-0.38    339.3675       -0.4069        339.3665       -0.4059        
34.784-0.557   34.7466        -0.5456        34.7477        -0.5444        
340.243-0.31   340.2443       -0.3159        340.2443       -0.3164        
340.495-0.94   340.5290       -0.9498        340.5295       -0.9494        
340.593-0.93   340.5931       -0.9405        340.5934       -0.9404        
340.593-0.93   340.5948       -0.9300        340.5944       -0.9324        
342.493-0.18   342.4778       -0.1638        342.4758       -0.1660        
342.55-0.571   342.5582       -0.5687        342.5588       -0.5685        
