map_name       250 glon       250 glat       350 glon       350 glat       
-------------------------------------------------------------------------------
17.082+0.442   17.0823        0.4456         17.0836        0.4471 	   
18.5-0.183     18.4994        -0.1808        18.4994        -0.1807   	
18.906-0.152   18.9068        -0.1512        18.9066        -0.1502     
20.031-0.706   20.0309        -0.7076        20.0318        -0.7068     
22.31-0.628    22.3098        -0.6268        22.3081        -0.6263    
22.729+0.126   22.7277        0.1261         22.7276        0.1263   	
23.066+0.049   23.0689        0.0483         23.0687        0.0485    	
23.104-0.071   23.1015        -0.0881        23.1020        -0.0871     
23.294-0.202   23.2784        -0.2150        23.2773        -0.2152  	
23.294-0.202   23.3103        -0.1935        23.3101        -0.1938    	
23.296+0.055   23.2957        0.0548         23.2966        0.0550	
23.378+0.098   23.3790        0.0991         23.3777        0.1000  	
23.382-0.022   23.3814        -0.0207        23.3819        -0.0206 	
23.477-0.536   23.4804        -0.5441        23.4804        -0.5422  	
23.477-0.536   23.4793        -0.5343        23.4796        -0.5329  	
23.923-0.208   23.9250        -0.2081        23.9244        -0.2078   	
24.05-0.214    24.0496        -0.2140        24.0499        -0.2141  	
24.097+0.349   24.0799        0.3451         24.0810        0.3446        
24.964-0.173   24.9636        -0.1714        24.9645        -0.1721  	
24.964-0.173   24.9935        -0.0993        24.9944        -0.0995  	
25.046-0.183   25.0483        -0.1813        25.0472        -0.1805     
25.075+0.202   25.0753        0.2019         25.0754        0.2023      
25.236+0.451   25.2369        0.4516         25.2372        0.4515 	
25.266+0.38    25.2706        0.3797         25.2705        0.3796	
25.674-0.123   25.6642        -0.1190        25.6644        -0.1189      
26.657-0.075   26.6579        -0.0753        26.6585        -0.0749   	
26.736+0.213   26.7357        0.2266         26.7361        0.2271   	
28.087+0.067   28.0887        0.0687         28.0883        0.0693   	
28.333+0.063   28.3552        0.0724         28.3562        0.0732    	
28.394-0.113   28.3939        -0.1134        28.3933        -0.1135   	   
28.566-0.339   28.5140        -0.3741        28.5145        -0.3741   	
28.714+0.143   28.6619        0.1469         28.6614        0.1467 	   
29.026-0.623   29.0269        -0.6226        29.0272        -0.6223  	
29.174-0.496   29.1759        -0.4967        29.1757        -0.4961    	
30.314-0.137   30.3155        -0.1378        30.3161        -0.1379    	  
30.578-0.252   30.5828        -0.2104        30.5831        -0.2110 	
31.023-0.111   31.0237        -0.1114        31.0247        -0.1121    
36.671-0.131   36.6707        -0.1282        36.6710        -0.1304   	

