map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
0.02-0.129     1              250            359.9698       -0.1300        266.5139       -29.0296       0.00           
0.02-0.129     1              350            359.9685       -0.1296        266.5127       -29.0305       4.90           
0.02-0.129     2              250            359.9859       -0.1242        266.5178       -29.0129       0.00           
0.02-0.129     2              350            359.9860       -0.1274        266.5210       -29.0145       11.53          
0.02-0.129     3              250            359.9964       -0.1202        266.5201       -29.0018       0.00           
0.02-0.129     3              350            359.9975       -0.1190        266.5196       -29.0003       5.86           
0.02-0.129     4              250            0.0059         -0.1372        266.5424       -29.0026       0.00           
0.02-0.129     4              350            0.0067         -0.1361        266.5418       -29.0013       4.90           
0.02-0.129     5              250            0.1187         -0.2166        266.6869       -28.9474       0.00           
0.02-0.129     5              350            0.1185         -0.2155        266.6857       -28.9470       4.02           
0.02-0.129     6              250            0.0818         -0.1365        266.5868       -28.9374       0.00           
0.02-0.129     6              350            0.0822         -0.1370        266.5875       -28.9373       2.31           
0.02-0.129     7              250            0.1126         -0.1313        266.6000       -28.9083       0.00           
0.02-0.129     7              350            0.1128         -0.1322        266.6010       -28.9086       3.32           
0.034-0.255    1              250            0.0371         -0.2321        266.6537       -29.0252       0.00           
0.034-0.255    1              350            0.0371         -0.2320        266.6536       -29.0252       0.36           
0.035+0.000    1              250            0.0014         -0.0250        266.4302       -28.9480       0.00           
0.035+0.000    1              350            0.0015         -0.0252        266.4305       -28.9480       0.80           
0.042-0.124    1              250            0.0566         -0.1161        266.5519       -28.9483       0.00           
0.042-0.124    1              350            0.0572         -0.1157        266.5519       -28.9476       2.60           
0.08-0.72      1              250            0.0549         -0.6933        267.1160       -29.2487       0.00           
0.08-0.72      1              350            0.0566         -0.6939        267.1176       -29.2475       6.49           
0.08-0.72      2              250            0.0510         -0.6700        267.0908       -29.2400       0.00           
0.08-0.72      2              350            0.0512         -0.6697        267.0906       -29.2397       1.30           
0.122-0.225    1              250            0.0472         -0.2209        266.6487       -29.0108       0.00           
0.122-0.225    1              350            0.0466         -0.2204        266.6479       -29.0110       2.81           
0.122-0.225    2              250            0.1273         -0.1584        266.6352       -28.9099       0.00           
0.122-0.225    2              350            0.1275         -0.1582        266.6351       -28.9096       1.02           
0.134-0.401    1              250            0.1270         -0.4060        266.8770       -29.0385       0.00           
0.134-0.401    1              350            0.1274         -0.4062        266.8775       -29.0383       1.61           
0.144-0.27     1              250            0.1453         -0.2754        266.7602       -28.9552       0.00           
0.144-0.27     1              350            0.1464         -0.2744        266.7598       -28.9537       5.35           
0.144-0.572    1              250            0.1545         -0.5772        267.0610       -29.1035       0.00           
0.144-0.572    1              350            0.1552         -0.5770        267.0612       -29.1028       2.62           
0.16+0.098     1              250            0.1295         0.0025         266.4796       -28.8243       0.00           
0.16+0.098     1              350            0.1303         0.0028         266.4798       -28.8235       3.08           
0.163-0.057    1              250            0.0617         -0.0801        266.5198       -28.9252       0.00           
0.163-0.057    1              350            0.0622         -0.0794        266.5194       -28.9244       3.10           
0.163-0.057    2              250            0.0353         0.0054         266.4207       -28.9032       0.00           
0.163-0.057    2              350            0.0358         0.0055         266.4209       -28.9028       1.84           
0.163-0.057    3              250            0.0318         0.0202         266.4042       -28.8985       0.00           
0.163-0.057    3              350            0.0329         0.0213         266.4038       -28.8970       5.60           
0.163-0.057    4              250            0.0757         -0.0297        266.4790       -28.8870       0.00           
0.163-0.057    4              350            0.0761         -0.0304        266.4799       -28.8870       2.90           
0.163-0.057    5              250            0.0758         -0.0021        266.4521       -28.8726       0.00           
0.163-0.057    5              350            0.0765         -0.0024        266.4528       -28.8721       2.74           
0.163-0.057    6              250            0.1398         -0.0856        266.5716       -28.8614       0.00           
0.163-0.057    6              350            0.1393         -0.0848        266.5705       -28.8614       3.40           
0.163-0.057    7              250            0.0972         -0.0060        266.4687       -28.8563       0.00           
0.163-0.057    7              350            0.0977         -0.0052        266.4682       -28.8555       3.40           
0.163-0.057    8              250            0.1560         -0.0819        266.5776       -28.8456       0.00           
0.163-0.057    8              350            0.1570         -0.0829        266.5792       -28.8453       5.09           
0.163-0.057    9              250            0.1108         0.0017         266.4692       -28.8407       0.00           
0.163-0.057    9              350            0.1109         0.0021         266.4689       -28.8404       1.48           
0.163-0.432    1              250            0.1530         -0.4546        266.9400       -29.0414       0.00           
0.163-0.432    1              350            0.1536         -0.4538        266.9396       -29.0405       3.60           
0.181-0.285    1              250            0.2094         -0.2542        266.7774       -28.8894       0.00           
0.181-0.285    1              350            0.2110         -0.2537        266.7779       -28.8878       6.03           
0.183-0.416    1              250            0.2438         -0.4564        266.9954       -28.9646       0.00           
0.183-0.416    1              350            0.2440         -0.4560        266.9951       -28.9642       1.61           
0.19-0.566     1              250            0.1967         -0.5468        267.0561       -29.0516       0.00           
0.19-0.566     1              350            0.1969         -0.5474        267.0568       -29.0518       2.28           
0.287-0.341    1              250            0.2846         -0.3460        266.9116       -28.8726       0.00           
0.287-0.341    1              350            0.2839         -0.3460        266.9112       -28.8732       2.52           
0.33-0.552     1              250            0.2957         -0.5600        267.1275       -28.9736       0.00           
0.33-0.552     1              350            0.2959         -0.5598        267.1274       -28.9734       1.02           
0.33-0.552     2              250            0.3131         -0.5796        267.1569       -28.9688       0.00           
0.33-0.552     2              350            0.3122         -0.5800        267.1568       -28.9698       3.55           
0.341+0.095    1              250            0.1746         -0.0338        266.5417       -28.8047       0.00           
0.341+0.095    1              350            0.1760         -0.0330        266.5418       -28.8031       5.80           
0.341+0.095    2              250            0.2041         -0.0423        266.5675       -28.7839       0.00           
0.341+0.095    2              350            0.2052         -0.0419        266.5678       -28.7828       4.21           
0.341+0.095    3              250            0.1695         0.0214         266.4849       -28.7803       0.00           
0.341+0.095    3              350            0.1699         0.0205         266.4860       -28.7805       3.55           
0.341+0.095    4              250            0.2709         -0.0643        266.6286       -28.7383       0.00           
0.341+0.095    4              350            0.2709         -0.0634        266.6277       -28.7378       3.24           
0.341+0.095    5              250            0.2314         -0.0081        266.5504       -28.7428       0.00           
0.341+0.095    5              350            0.2319         -0.0076        266.5502       -28.7421       2.55           
0.341+0.095    6              250            0.2851         -0.0592        266.6320       -28.7235       0.00           
0.341+0.095    6              350            0.2811         -0.0604        266.6308       -28.7275       15.03          
0.341+0.095    7              250            0.3192         -0.0728        266.6654       -28.7014       0.00           
0.341+0.095    7              350            0.3201         -0.0734        266.6666       -28.7010       3.89           
0.341+0.095    8              250            0.2878         -0.0180        266.5935       -28.6998       0.00           
0.341+0.095    8              350            0.2899         -0.0206        266.5972       -28.6993       12.03          
0.341+0.095    9              250            0.2833         0.0385         266.5358       -28.6742       0.00           
0.341+0.095    9              350            0.2841         0.0386         266.5362       -28.6735       2.90           
0.341+0.095    10             250            0.3253         -0.0104        266.6083       -28.6638       0.00           
0.341+0.095    10             350            0.3259         -0.0091        266.6074       -28.6626       5.15           
0.341+0.095    11             250            0.3084         0.0155         266.5730       -28.6648       0.00           
0.341+0.095    11             350            0.3074         0.0168         266.5712       -28.6649       5.90           
0.341+0.095    12             250            0.2968         0.0434         266.5390       -28.6602       0.00           
0.341+0.095    12             350            0.2970         0.0439         266.5386       -28.6597       1.94           
0.341+0.095    13             250            0.3770         0.0164         266.6128       -28.6057       0.00           
0.341+0.095    13             350            0.3774         0.0163         266.6131       -28.6054       1.48           
0.344-0.649    1              250            0.3739         -0.6963        267.3070       -28.9768       0.00           
0.344-0.649    1              350            0.3740         -0.6927        267.3036       -28.9749       12.96          
0.344-0.649    2              250            0.4487         -0.7059        267.3604       -28.9176       0.00           
0.344-0.649    2              350            0.4487         -0.7062        267.3607       -28.9178       1.08           
0.344-0.649    3              250            0.4408         -0.6917        267.3419       -28.9171       0.00           
0.344-0.649    3              350            0.4401         -0.6916        267.3414       -28.9177       2.55           
0.344-0.649    4              250            0.4133         -0.6137        267.2493       -28.9005       0.00           
0.344-0.649    4              350            0.4141         -0.6158        267.2518       -28.9009       8.09           
0.344-0.649    5              250            0.4792         -0.7212        267.3933       -28.8993       0.00           
0.344-0.649    5              350            0.4788         -0.7216        267.3935       -28.8999       2.04           
0.344-0.649    6              250            0.4144         -0.5973        267.2339       -28.8912       0.00           
0.344-0.649    6              350            0.4149         -0.5975        267.2344       -28.8908       1.94           
0.344-0.649    7              250            0.4361         -0.6169        267.2658       -28.8827       0.00           
0.344-0.649    7              350            0.4375         -0.6181        267.2678       -28.8821       6.64           
0.361-0.781    1              250            0.3366         -0.7586        267.3462       -29.0409       0.00           
0.361-0.781    1              350            0.3357         -0.7596        267.3466       -29.0422       4.84           
0.392-0.238    1              250            0.3196         -0.2501        266.8386       -28.7930       0.00           
0.392-0.238    1              350            0.3215         -0.2479        266.8376       -28.7902       10.46          
0.392-0.238    2              250            0.3602         -0.2629        266.8751       -28.7649       0.00           
