map_name       70 glon        70 glat        160 glon       160 glat       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.074+0.13    15.0781        0.1305         15.0782        0.1306         15.0769        0.1308         15.0766        0.1313         
15.078-0.259   15.0794        -0.2609        15.0795        -0.2600        15.0802        -0.2596        15.0810        -0.2605        
15.286+0.168   15.2633        0.2090         15.2630        0.2093         15.2629        0.2098         15.2655        0.2085         
16.941+0.458   16.9188        0.4818         16.9190        0.4817         16.9185        0.4814         16.9184        0.4823         
17.082+0.442   17.1409        0.5462         17.1410        0.5455         17.1417        0.5442         17.1418        0.5439         
17.096+0.412   17.0962        0.4111         17.0965        0.4118         17.0959        0.4119         17.0966        0.4122         
17.649+0.223   17.6425        0.2254         17.6421        0.2258         17.6422        0.2263         17.6434        0.2262         
17.957+0.083   17.9639        0.0786         17.9638        0.0787         17.9630        0.0791         17.9626        0.0798         
18.056-0.432   18.0760        -0.4302        18.0750        -0.4292        18.0745        -0.4296        18.0748        -0.4303        
18.145-0.416   18.1421        -0.3762        18.1422        -0.3769        18.1417        -0.3765        18.1424        -0.3766        
18.287-0.256   18.2532        -0.2501        18.2550        -0.2505        18.2555        -0.2499        18.2566        -0.2492        
18.76-0.438    18.7883        -0.4641        18.7874        -0.4652        18.7874        -0.4667        18.7879        -0.4669        
18.896-0.036   18.9059        -0.0022        18.9062        -0.0036        18.9063        -0.0042        18.9067        -0.0039        
18.98-0.093    18.9810        -0.0915        18.9808        -0.0914        18.9811        -0.0912        18.9816        -0.0907        
19.03+0.57     19.0488        0.5605         19.0487        0.5607         19.0481        0.5595         19.0477        0.5602         
19.106+0.115   19.0973        0.1188         19.0970        0.1186         19.0965        0.1188         19.0977        0.1189         
19.159-0.493   19.0683        -0.5654        19.0674        -0.5653        19.0670        -0.5655        19.0671        -0.5660        
19.577-0.888   19.6036        -0.9105        19.6040        -0.9109        19.6037        -0.9107        19.6026        -0.9093        
19.647-0.223   19.6089        -0.2350        19.6089        -0.2343        19.6090        -0.2361        19.6096        -0.2333        
19.818-0.514   19.8175        -0.5150        19.8169        -0.5146        19.8169        -0.5150        19.8174        -0.5147        
20.713-0.364   20.7214        -0.3582        20.7215        -0.3585        20.7210        -0.3592        20.7195        -0.3598        
20.717-0.01    20.7380        -0.0307        20.7371        -0.0290        20.7362        -0.0281        20.7358        -0.0267        
