map_name       70 glon        70 glat        160 glon       160 glat       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086   15.0118        0.0670         15.0114        0.0678         15.0107        0.0680         15.0109        0.0684         
15.074+0.13    15.0781        0.1305         15.0782        0.1306         15.0769        0.1308         15.0766        0.1313         
15.078-0.259   15.0794        -0.2609        15.0795        -0.2600        15.0802        -0.2596        15.0810        -0.2605        
15.262-0.156   15.2571        -0.1560        15.2572        -0.1558        15.2576        -0.1558        15.2582        -0.1555        
15.271-0.125   15.2702        -0.1200        15.2705        -0.1198        15.2708        -0.1207        15.2717        -0.1212        
15.286+0.168   15.2633        0.2090         15.2630        0.2093         15.2629        0.2098         15.2655        0.2085         
15.536-0.405   15.5294        -0.4065        15.5296        -0.4062        15.5301        -0.4063        15.5312        -0.4061        
15.55-0.454    15.5502        -0.4552        15.5499        -0.4555        15.5497        -0.4548        15.5498        -0.4534        
15.55-0.454    15.5581        -0.4636        15.5585        -0.4633        15.5588        -0.4627        15.5589        -0.4625        
15.715-0.597   15.7182        -0.5938        15.7182        -0.5938        15.7165        -0.5947        15.7175        -0.5945        
16.305-0.072   16.3351        -0.0750        16.3353        -0.0758        16.3350        -0.0769        16.3352        -0.0771        
16.335-0.213   16.3372        -0.2238        16.3373        -0.2236        16.3371        -0.2230        16.3369        -0.2228        
16.379-0.044   16.3782        -0.0423        16.3783        -0.0426        16.3786        -0.0419        16.3773        -0.0428        
16.386-0.212   16.3624        -0.2064        16.3635        -0.2059        16.3641        -0.2054        16.3652        -0.2063        
16.386-0.212   16.3693        -0.2109        16.3690        -0.2110        16.3705        -0.2107        16.3714        -0.2109        
16.386-0.212   16.4029        -0.1812        16.4034        -0.1809        16.4029        -0.1813        16.4033        -0.1805        
16.447+0.447   16.4179        0.4447         16.4184        0.4450         16.4188        0.4447         16.4195        0.4451         
16.475-0.184   16.4442        -0.1938        16.4447        -0.1931        16.4442        -0.1926        16.4450        -0.1928        
16.584-0.082   16.5781        -0.0813        16.5782        -0.0810        16.5788        -0.0805        16.5796        -0.0806        
16.609-0.234   16.6091        -0.2381        16.6093        -0.2377        16.6091        -0.2373        16.6096        -0.2367        
16.661-0.343   16.6613        -0.3313        16.6615        -0.3312        16.6615        -0.3309        16.6622        -0.3314        
16.883+0.136   16.8719        0.1272         16.8718        0.1279         16.8703        0.1282         16.8698        0.1288         
16.925+0.279   16.9266        0.2858         16.9267        0.2856         16.9266        0.2854         16.9274        0.2838         
16.932+0.215   16.9280        0.2176         16.9294        0.2175         16.9299        0.2177         16.9304        0.2179         
16.941+0.458   16.9433        0.4202         16.9433        0.4207         16.9430        0.4209         16.9435        0.4213         
16.941+0.458   16.9188        0.4818         16.9190        0.4817         16.9185        0.4814         16.9184        0.4823         
16.965-0.095   16.9444        -0.0735        16.9446        -0.0732        16.9444        -0.0733        16.9449        -0.0729        
16.975-0.219   16.9742        -0.2240        16.9750        -0.2232        16.9753        -0.2224        16.9756        -0.2220        
