map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086   1              70             15.0118        0.0670         274.4100       -15.8612       3.22           
15.054+0.086   1              160            15.0114        0.0678         274.4091       -15.8612       0.00           
15.054+0.086   1              250            15.0107        0.0680         274.4086       -15.8617       2.62           
15.054+0.086   1              350            15.0109        0.0684         274.4083       -15.8613       2.81           
15.074+0.13    1              70             15.0781        0.1305         274.3846       -15.7727       0.51           
15.074+0.13    1              160            15.0782        0.1306         274.3846       -15.7726       0.00           
15.074+0.13    1              250            15.0769        0.1308         274.3837       -15.7736       4.74           
15.074+0.13    1              350            15.0766        0.1313         274.3831       -15.7736       6.29           
15.078-0.259   1              70             15.0794        -0.2609        274.7436       -15.9570       3.26           
15.078-0.259   1              160            15.0795        -0.2600        274.7428       -15.9565       0.00           
15.078-0.259   1              250            15.0802        -0.2596        274.7428       -15.9557       2.90           
15.078-0.259   1              350            15.0810        -0.2605        274.7440       -15.9554       5.69           
15.262-0.156   1              70             15.2571        -0.1560        274.7349       -15.7508       0.80           
15.262-0.156   1              160            15.2572        -0.1558        274.7348       -15.7506       0.00           
15.262-0.156   1              250            15.2576        -0.1558        274.7349       -15.7503       1.44           
15.262-0.156   1              350            15.2582        -0.1555        274.7350       -15.7496       3.76           
15.271-0.125   1              70             15.2702        -0.1200        274.7084       -15.7222       1.30           
15.271-0.125   1              160            15.2705        -0.1198        274.7083       -15.7219       0.00           
15.271-0.125   1              250            15.2708        -0.1207        274.7093       -15.7220       3.42           
15.271-0.125   1              350            15.2717        -0.1212        274.7102       -15.7215       6.64           
15.286+0.168   1              70             15.2633        0.2090         274.4041       -15.5724       1.53           
15.286+0.168   1              160            15.2630        0.2093         274.4037       -15.5726       0.00           
15.286+0.168   1              250            15.2629        0.2098         274.4032       -15.5724       1.84           
15.286+0.168   1              350            15.2655        0.2085         274.4056       -15.5707       9.45           
15.536-0.405   1              70             15.5294        -0.4065        275.0978       -15.6291       1.30           
15.536-0.405   1              160            15.5296        -0.4062        275.0976       -15.6288       0.00           
15.536-0.405   1              250            15.5301        -0.4063        275.0980       -15.6284       1.84           
15.536-0.405   1              350            15.5312        -0.4061        275.0983       -15.6273       5.77           
15.55-0.454    1              70             15.5502        -0.4552        275.1526       -15.6337       1.53           
