-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    map        source        mass        luminosity      radius      temperature      err_temp         chisq          distance             glon            glat              ra               dec     
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17.082+0.442       2        81.9722        41.4811       0.285679        13.0663       0.953853        0.917172         2.31000          17.0961      0.411100       275.116      -13.8619
18.145-0.416       2        358.329        283.862       0.599850        13.9685        1.08271         1.82625         3.69000          18.1422     -0.376100       276.336      -13.3076
18.246-0.269       1        3856.28        1748.40       0.579648        12.5857       0.893030        0.459592         4.42000          18.2532     -0.250000       276.275      -13.1505
20.717-0.01       1        116.944        671.217       0.500866        19.3517        2.17455         3.03165         4.05000          20.7351    -0.0307000       277.257      -10.8514
22.372+0.377       1        153.123        345.772       0.644070        15.7907        1.51326      0.00396196         3.93000          22.3416      0.431800       277.599      -9.21410
23.454+0.06       2        2507.10        9709.12       0.804573        18.0229        1.92711        0.524546         4.80000          23.4558     0.0648000       278.449      -8.39570
23.496-0.085       1        253.871        1188.00       0.440267        18.8926        2.11487        0.921024         3.56000          23.5189    -0.0472000       278.579      -8.39140
24.381-0.21       2        541.584        5312.24       0.572744        21.2425        2.75647        0.716234         3.61000          24.3974     -0.187900       279.113      -7.67610
24.485-0.22       3        330.399        3170.68       0.664471        21.5082        2.77717         1.89104         5.31000          24.5167     -0.229500       279.206      -7.58930
24.764-0.12       1        108.857        246.591       0.610645        16.7430        1.61272         1.25148         3.57000          24.7509    -0.0980000       279.197      -7.32090
24.964-0.173       2        137.321        370.248       0.489573        16.8572        1.68757        0.216983         3.21000          24.8483     -0.101200       279.245      -7.23580
25.367-0.048       1        127.928        1390.78       0.610038        22.1559        3.00796         1.00548         5.25000          25.3974    -0.0325000       279.437      -6.71660
27.525+0.198       1        834.701        5781.62       0.840674        19.6856        2.32497        0.758299         5.15000          27.5030      0.195900       280.203      -4.74050
27.751+0.057       1        1381.79        4069.79       0.674004        16.8924        1.65724        0.857493         5.45000          27.7572     0.0500000       280.450      -4.58130
27.956-0.467       1        364.413        584.159       0.488762        15.4703        1.38990        0.381545         3.05000          27.9676     -0.475000       281.015      -4.63410
28.002+0.154       1        714.247        105.667       0.765883        11.1017       0.708611       0.0208221         4.55000          28.0010      0.153700       280.470      -4.31710
29.01-0.605       4        400.030        1205.89       0.471949        17.2974        1.77103        0.377850         3.16000          28.9841     -0.620500       281.609      -3.79620
29.9-0.801       1        461.173        1534.22       0.772667        17.2307        1.82493      0.00107190         4.78000          29.9087     -0.802800       282.195      -3.05660
29.962-0.789       1        1303.23        7201.48       0.783798        19.0711        2.17967        0.562556         4.81000          29.8877     -0.781500       282.167      -3.06560
30.438-0.1       1        182.506        408.033       0.660485        16.5079        1.54216         2.37762         5.01000          30.4213     -0.109700       281.808      -2.28410
30.601-0.683       2        1.78698        5.17113       0.124159        17.0747        1.76243       0.0401586        0.710000          30.5416     -0.535000       282.245      -2.37100
32.309-0.885       2        20.8521        23.7914       0.365270        14.8744        1.28045        0.326126         3.22000          32.3372     -0.920800       283.408     -0.949100
35.063-0.726       1        2239.22        5478.58       0.405704        16.6183        1.63042        0.279277         2.32000          35.1321     -0.743700       284.525       1.61860
38.827-0.472       1        61.8341        70.3904       0.368509        14.5466        1.22234        0.299106         2.81000          38.8392     -0.458600       285.969       5.04530
38.837-0.578       1        85.7078        100.577       0.372837        14.4566        1.28077        0.141390         2.79000          38.8323     -0.565800       286.062       4.99000
40.429-0.018       2        595.601        128.545       0.732367        11.6992       0.761386        0.656527         4.62000          40.4220    -0.0233000       286.311       6.65140
41.049-0.138       2        368.099        191.330       0.438111        13.3098       0.978819         1.68909         2.59000          41.0756     -0.124700       286.704       7.18530
41.065-0.234       3        28.9579        932.670       0.606956        30.5383        6.02346         5.02666         3.97000          41.0761     -0.238000       286.806       7.13370
41.065-0.234      12        67.6227        767.936       0.554855        22.7918        3.19724         1.12738         3.97000          41.2159     -0.168500       286.809       7.28980
43.068-0.045       1        123.979        990.294       0.621976        20.5802        2.69100     7.66485e-05         4.25000          43.0211    -0.0234000       287.519       8.95870
43.068-0.045       4        321.483        2981.11       0.743207        20.1687        2.81306         1.25839         4.25000          43.0786    0.00410000       287.521       9.02240
43.174-0.075       1        1.70892        58.8917       0.167877        27.3569        5.18821       0.0579565        0.960000          43.1828    -0.0738000       287.640       9.07890
46.423-0.266       1        530.733        134.074       0.751951        11.9541       0.814655        0.145591         4.30000          46.4175     -0.228100       289.304       11.8734
48.55-0.026       1        56.3691        710.339       0.840431        22.8749        3.22785         1.05576         5.56000          48.5407    -0.0183000       290.136       13.8465
48.627-0.699       1        171.497        145.575       0.855717        13.9240        1.16772       0.0434247         5.55000          48.6028     -0.669800       290.756       13.5953
48.852-0.527       7        140.747        3445.79       0.829492        27.3362        4.92646        0.328605         4.78000          48.8737     -0.508000       290.742       13.9096
49.212-0.332       4        5866.93        8016.15       0.839634        14.6910        1.24904        0.289632         5.48000          49.3901     -0.325400       290.828       14.4511
49.433-0.22       2        79.7877        731.097       0.607950        21.5060        2.92930       0.0468324         4.32000          49.4445     -0.259400       290.793       14.5309
49.55-0.542       2        535.909        2117.63       0.959441        17.5404        2.02223        0.740574         10.9700          49.5272     -0.467000       291.024       14.5049
49.576-0.476       2        9.75962        58.8099       0.488527        17.3152        2.27849         5.56497         3.22000          49.5815     -0.454700       291.039       14.5587
49.675-0.157       1        22.0401        192.985       0.516479        18.8223        2.59025         3.38310         3.62000          49.7276     -0.173100       290.854       14.8205
51.803+0.667       2        38.8938        157.885       0.496204        18.4402        2.03686        0.385967         3.22000          51.7847      0.686900       291.078       17.0397
53.132+0.257       1        61.5528        714.726       0.324545        22.0143        3.08716       0.0445481         1.98000          53.1860      0.209000       292.218       18.0448
53.601+0.222       1        53.4060        59.7581       0.267530        14.7706        1.25418        0.465624         2.04000          53.6210      0.234200       292.414       18.4387
53.811-0.043       2        185.322        61.8558       0.324297        12.5632       0.870293         1.38776         2.07000          53.7424     0.0105000       292.682       18.4379
53.811-0.043      10        81.9448        1212.27       0.299184        23.7679        3.58102        0.402185         2.07000          53.9589     0.0325000       292.771       18.6384
53.876-0.175       1        59.1130        184.668       0.842881        16.8749        1.94762         1.87179         4.95000          53.9102     -0.179900       292.943       18.4934
54.065-0.017       4        113.699        1782.25       0.599812        24.2559        3.81108        0.107603         3.43000          54.0855    -0.0514000       292.913       18.7089
54.065-0.017       6        340.495        2939.90       0.599812        21.3788        2.79940        0.672674         3.43000          54.1102    -0.0813000       292.953       18.7161
