map_name       70 glon        70 glat        160 glon       160 glat       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.715-0.597   15.7182        -0.5938        15.7182        -0.5938        15.7165        -0.5947        15.7175        -0.5945        
16.975-0.219   16.9742        -0.2240        16.9750        -0.2232        16.9753        -0.2224        16.9756        -0.2220        
16.975-0.219   16.9898        -0.2229        16.9904        -0.2227        16.9910        -0.2229        16.9910        -0.2222        
18.021-0.361   18.0331        -0.3668        18.0336        -0.3665        18.0338        -0.3657        18.0350        -0.3646        
18.493-0.201   18.4938        -0.2010        18.4940        -0.2008        18.4937        -0.2004        18.4941        -0.2001        
18.907-0.09    18.9267        -0.0378        18.9268        -0.0385        18.9265        -0.0388        18.9256        -0.0362        
19.082-0.291   19.1138        -0.2622        19.1128        -0.2623        19.1119        -0.2619        19.1119        -0.2614        
19.738-0.651   19.7313        -0.6477        19.7326        -0.6485        19.7330        -0.6494        19.7341        -0.6494        
21.412-0.531   21.3663        -0.6117        21.3663        -0.6111        21.3653        -0.6106        21.3661        -0.6105        
22.53-0.192    22.5327        -0.1915        22.5319        -0.1919        22.5317        -0.1927        22.5327        -0.1922        
22.693-0.456   22.6930        -0.4507        22.6930        -0.4509        22.6933        -0.4517        22.6935        -0.4521        
23.126+0.624   23.1217        0.6115         23.1189        0.6113         23.1187        0.6103         23.1201        0.6095         
23.238-0.483   23.2412        -0.4815        23.2415        -0.4815        23.2407        -0.4808        23.2403        -0.4809        
23.369-0.522   23.3649        -0.5227        23.3656        -0.5225        23.3667        -0.5221        23.3681        -0.5213        
23.471-0.179   23.4421        -0.2035        23.4421        -0.2031        23.4420        -0.2031        23.4419        -0.2042        
24.426-0.28    24.4548        -0.2878        24.4531        -0.2887        24.4529        -0.2892        24.4528        -0.2873        
24.528-0.136   24.5243        -0.1395        24.5250        -0.1395        24.5253        -0.1390        24.5260        -0.1390        
24.964-0.173   24.9142        -0.1297        24.9146        -0.1295        24.9147        -0.1285        24.9152        -0.1281        
25.078+0.04    25.0774        0.0390         25.0779        0.0405         25.0778        0.0422         25.0777        0.0421         
25.324+0.265   25.3309        0.2488         25.3283        0.2495         25.3278        0.2487         25.3286        0.2485         
25.409-0.315   25.4090        -0.3152        25.4096        -0.3148        25.4095        -0.3143        25.4103        -0.3136        
25.982-0.056   25.9807        -0.0547        25.9805        -0.0553        25.9806        -0.0553        25.9818        -0.0561        
26.358+0.033   26.3570        0.0333         26.3580        0.0340         26.3583        0.0352         26.3578        0.0353         
26.432-0.662   26.4813        -0.6203        26.4800        -0.6186        26.4792        -0.6182        26.4789        -0.6186        
27.016+0.204   27.0481        0.1941         27.0480        0.1944         27.0484        0.1954         27.0491        0.1960         
27.102-0.558   27.1004        -0.5582        27.1012        -0.5583        27.1007        -0.5587        27.1006        -0.5579        
28.178-0.091   28.1800        -0.0930        28.1799        -0.0928        28.1804        -0.0914        28.1813        -0.0906        
28.178-0.091   28.1958        -0.0708        28.1958        -0.0722        28.1956        -0.0735        28.1958        -0.0738        
28.565-0.227   28.5271        -0.2518        28.5277        -0.2518        28.5265        -0.2506        28.5260        -0.2503        
28.609-0.258   28.6049        -0.2580        28.6050        -0.2579        28.6046        -0.2573        28.6074        -0.2578        
29.102-0.297   29.1063        -0.2958        29.1060        -0.2957        29.1066        -0.2955        29.1072        -0.2955        
30.131-0.644   30.1343        -0.6455        30.1340        -0.6463        30.1333        -0.6466        30.1343        -0.6475        
30.143-0.069   30.1073        -0.0678        30.1080        -0.0671        30.1089        -0.0684        30.1093        -0.0693        
30.196-0.12    30.1964        -0.1455        30.1970        -0.1449        30.1981        -0.1447        30.1981        -0.1437        
30.308-0.245   30.3403        -0.2511        30.3388        -0.2503        30.3385        -0.2504        30.3387        -0.2502        
30.912+0.72    30.9134        0.7211         30.9130        0.7210         30.9134        0.7204         30.9138        0.7200         
34.202-0.159   34.2040        -0.1582        34.2042        -0.1585        34.2042        -0.1591        34.2044        -0.1584        
35.057-0.537   35.0539        -0.4905        35.0560        -0.4923        35.0565        -0.4918        35.0563        -0.4906        
35.121-0.007   35.0991        0.0013         35.0989        0.0014         35.0990        0.0010         35.0993        0.0009         
35.191-0.758   35.0971        -0.7649        35.0967        -0.7639        35.0967        -0.7648        35.0969        -0.7664        
35.319-0.772   35.3195        -0.7680        35.3199        -0.7691        35.3204        -0.7699        35.3214        -0.7700        
35.527-0.269   35.4840        -0.2874        35.4842        -0.2860        35.4841        -0.2855        35.4849        -0.2860        
35.732-0.873   35.6962        -0.9460        35.6974        -0.9467        35.6974        -0.9478        35.7002        -0.9470        
35.839-0.228   35.8372        -0.2285        35.8389        -0.2276        35.8388        -0.2278        35.8392        -0.2277        
36.671-0.131   36.6653        -0.1109        36.6654        -0.1110        36.6662        -0.1118        36.6670        -0.1124        
38.244+0.723   38.2445        0.7217         38.2445        0.7220         38.2444        0.7220         38.2441        0.7221         
40.429-0.018   40.4343        -0.0356        40.4344        -0.0333        40.4345        -0.0313        40.4359        -0.0309        
42.914-0.134   42.9153        -0.1343        42.9152        -0.1341        42.9150        -0.1340        42.9155        -0.1342        
43.068-0.045   43.1178        -0.0694        43.1171        -0.0701        43.1161        -0.0702        43.1159        -0.0704        
45.386+0.082   45.3701        0.0725         45.3704        0.0722         45.3700        0.0714         45.3702        0.0703         
45.42-0.686    45.4245        -0.7013        45.4256        -0.7010        45.4270        -0.7011        45.4278        -0.7001        
