map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.007+0.008   15.0069        0.0102         15.0074        0.0097         
15.054+0.086   15.0444        0.0768         15.0454        0.0764         
15.55-0.454    15.5462        -0.4480        15.5433        -0.4454        
15.907-0.147   15.9082        -0.1460        15.9080        -0.1449        
16.305-0.072   16.3145        -0.0744        16.3123        -0.0729        
16.386-0.212   16.3874        -0.2189        16.3877        -0.2190        
16.65-0.36     16.6398        -0.3646        16.6399        -0.3639        
16.661-0.343   16.6643        -0.3403        16.6662        -0.3397        
16.661-0.343   16.6808        -0.3430        16.6812        -0.3425        
16.852-0.319   16.8492        -0.3169        16.8494        -0.3169        
16.905+0.343   16.9141        0.3245         16.9139        0.3236         
16.905+0.343   16.9050        0.3384         16.9061        0.3395         
16.905+0.343   16.9056        0.3497         16.9077        0.3501         
16.925+0.242   16.9158        0.1996         16.9162        0.1994         
16.925+0.242   16.9099        0.2187         16.9108        0.2207         
16.925+0.242   16.9258        0.2423         16.9250        0.2439         
16.925+0.242   16.9255        0.2655         16.9257        0.2653         
16.941+0.458   16.9017        0.4543         16.9029        0.4532         
16.941+0.458   16.9001        0.4671         16.8997        0.4682         
17.082+0.442   17.0578        0.4085         17.0579        0.4106         
17.082+0.442   17.0556        0.4376         17.0559        0.4371         
17.082+0.442   17.0821        0.3955         17.0832        0.3959         
17.082+0.442   17.0823        0.4456         17.0836        0.4471         
17.082+0.442   17.1177        0.4985         17.1201        0.4996         
17.082+0.442   17.1045        0.5316         17.1043        0.5323         
17.082+0.442   17.1060        0.5473         17.1066        0.5471         
17.206+0.292   17.2095        0.2922         17.2101        0.2927         
17.211+0.782   17.2242        0.7974         17.2235        0.7979         
17.619-0.204   17.6228        -0.2044        17.6223        -0.2040        
18.105-0.234   18.0978        -0.2303        18.0983        -0.2311        
18.145-0.416   18.1455        -0.4168        18.1456        -0.4170        
18.145-0.416   18.1815        -0.4710        18.1817        -0.4720        
18.214-0.486   18.2151        -0.4868        18.2139        -0.4864        
18.232-0.153   18.2288        -0.1207        18.2287        -0.1199        
