map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
15.007+0.008   1              250            15.0069        0.0102         274.4596       -15.8924       0.00           
15.007+0.008   1              350            15.0074        0.0097         274.4603       -15.8922       2.55           
15.054+0.086   1              250            15.0444        0.0768         274.4171       -15.8278       0.00           
15.054+0.086   1              350            15.0454        0.0764         274.4180       -15.8272       3.88           
15.55-0.454    1              250            15.5462        -0.4480        275.1440       -15.6338       0.00           
15.55-0.454    1              350            15.5433        -0.4454        275.1402       -15.6352       14.02          
15.907-0.147   1              250            15.9082        -0.1460        275.0449       -15.1722       0.00           
15.907-0.147   1              350            15.9080        -0.1449        275.0438       -15.1719       4.02           
16.305-0.072   1              250            16.3145        -0.0744        275.1778       -14.7801       0.00           
16.305-0.072   1              350            16.3123        -0.0729        275.1754       -14.7814       9.59           
16.386-0.212   1              250            16.3874        -0.2189        275.3451       -14.7839       0.00           
16.386-0.212   1              350            16.3877        -0.2190        275.3454       -14.7837       1.14           
16.65-0.36     1              250            16.6398        -0.3646        275.6008       -14.6296       0.00           
16.65-0.36     1              350            16.6399        -0.3639        275.6002       -14.6292       2.55           
16.661-0.343   1              250            16.6643        -0.3403        275.5905       -14.5966       0.00           
16.661-0.343   1              350            16.6662        -0.3397        275.5909       -14.5946       7.17           
16.661-0.343   2              250            16.6808        -0.3430        275.6010       -14.5833       0.00           
16.661-0.343   2              350            16.6812        -0.3425        275.6007       -14.5827       2.31           
16.852-0.319   1              250            16.8492        -0.3169        275.6588       -14.4223       0.00           
16.852-0.319   1              350            16.8494        -0.3169        275.6589       -14.4221       0.72           
16.905+0.343   1              250            16.9141        0.3245         275.1064       -14.0633       0.00           
16.905+0.343   1              350            16.9139        0.3236         275.1071       -14.0639       3.32           
16.905+0.343   2              250            16.9050        0.3384         275.0893       -14.0648       0.00           
16.905+0.343   2              350            16.9061        0.3395         275.0889       -14.0633       5.60           
16.905+0.343   3              250            16.9056        0.3497         275.0793       -14.0589       0.00           
16.905+0.343   3              350            16.9077        0.3501         275.0800       -14.0569       7.70           
16.925+0.242   1              250            16.9158        0.1996         275.2208       -14.1207       0.00           
16.925+0.242   1              350            16.9162        0.1994         275.2212       -14.1204       1.61           
16.925+0.242   2              250            16.9099        0.2187         275.2006       -14.1169       0.00           
16.925+0.242   2              350            16.9108        0.2207         275.1992       -14.1151       7.90           
16.925+0.242   3              250            16.9258        0.2423         275.1868       -14.0917       0.00           
16.925+0.242   3              350            16.9250        0.2439         275.1850       -14.0917       6.44           
16.925+0.242   4              250            16.9255        0.2655         275.1656       -14.0811       0.00           
16.925+0.242   4              350            16.9257        0.2653         275.1658       -14.0810       1.02           
16.941+0.458   1              250            16.9017        0.4543         274.9824       -14.0130       0.00           
16.941+0.458   1              350            16.9029        0.4532         274.9840       -14.0125       5.86           
16.941+0.458   2              250            16.9001        0.4671         274.9700       -14.0084       0.00           
16.941+0.458   2              350            16.8997        0.4682         274.9688       -14.0082       4.21           
17.082+0.442   1              250            17.0578        0.4085         275.0999       -13.8970       0.00           
17.082+0.442   1              350            17.0579        0.4106         275.0980       -13.8959       7.57           
17.082+0.442   2              250            17.0556        0.4376         275.0724       -13.8852       0.00           
17.082+0.442   2              350            17.0559        0.4371         275.0730       -13.8852       2.10           
17.082+0.442   3              250            17.0821        0.3955         275.1235       -13.8817       0.00           
17.082+0.442   3              350            17.0832        0.3959         275.1237       -13.8805       4.21           
17.082+0.442   4              250            17.0823        0.4456         275.0781       -13.8579       0.00           
17.082+0.442   4              350            17.0836        0.4471         275.0773       -13.8560       7.15           
17.082+0.442   5              250            17.1177        0.4985         275.0472       -13.8017       0.00           
17.082+0.442   5              350            17.1201        0.4996         275.0474       -13.7991       9.50           
17.082+0.442   6              250            17.1045        0.5316         275.0108       -13.7977       0.00           
17.082+0.442   6              350            17.1043        0.5323         275.0100       -13.7976       2.62           
17.082+0.442   7              250            17.1060        0.5473         274.9972       -13.7890       0.00           
17.082+0.442   7              350            17.1066        0.5471         274.9977       -13.7886       2.28           
17.206+0.292   1              250            17.2095        0.2922         275.2791       -13.8180       0.00           
17.206+0.292   1              350            17.2101        0.2927         275.2790       -13.8172       2.81           
17.211+0.782   1              250            17.2242        0.7974         274.8278       -13.5667       0.00           
17.211+0.782   1              350            17.2235        0.7979         274.8270       -13.5671       3.10           
17.619-0.204   1              250            17.6228        -0.2044        275.9303       -13.6863       0.00           
17.619-0.204   1              350            17.6223        -0.2040        275.9297       -13.6866       2.31           
18.105-0.234   1              250            18.0978        -0.2303        276.1825       -13.2787       0.00           
18.105-0.234   1              350            18.0983        -0.2311        276.1834       -13.2786       3.40           
18.145-0.416   1              250            18.1455        -0.4168        276.3748       -13.3236       0.00           
18.145-0.416   1              350            18.1456        -0.4170        276.3750       -13.3236       0.80           
18.145-0.416   2              250            18.1815        -0.4710        276.4413       -13.3171       0.00           
18.145-0.416   2              350            18.1817        -0.4720        276.4423       -13.3174       3.67           
18.214-0.486   1              250            18.2151        -0.4868        276.4718       -13.2947       0.00           
18.214-0.486   1              350            18.2139        -0.4864        276.4709       -13.2956       4.55           
18.232-0.153   1              250            18.2288        -0.1207        276.1459       -13.1116       0.00           
18.232-0.153   1              350            18.2287        -0.1199        276.1451       -13.1113       2.90           
18.261-0.309   1              250            18.2240        -0.3276        276.3314       -13.2125       0.00           
18.261-0.309   1              350            18.2252        -0.3251        276.3297       -13.2103       9.98           
18.287-0.256   1              250            18.2906        -0.3200        276.3565       -13.1501       0.00           
18.287-0.256   1              350            18.2905        -0.3202        276.3566       -13.1503       0.80           
18.287-0.256   2              250            18.2734        -0.2830        276.3146       -13.1480       0.00           
18.287-0.256   2              350            18.2747        -0.2826        276.3149       -13.1467       4.90           
18.287-0.256   3              250            18.2349        -0.1891        276.2109       -13.1382       0.00           
18.287-0.256   3              350            18.2369        -0.1877        276.2106       -13.1358       8.79           
18.287-0.256   4              250            18.3007        -0.3120        276.3541       -13.1374       0.00           
18.287-0.256   4              350            18.3016        -0.3115        276.3540       -13.1364       3.71           
18.287-0.256   5              250            18.2481        -0.2070        276.2335       -13.1349       0.00           
18.287-0.256   5              350            18.2473        -0.2065        276.2327       -13.1354       3.40           
18.287-0.256   6              250            18.2448        -0.1904        276.2168       -13.1301       0.00           
18.287-0.256   6              350            18.2464        -0.1894        276.2167       -13.1282       6.79           
18.287-0.256   7              250            18.2758        -0.2344        276.2717       -13.1232       0.00           
18.287-0.256   7              350            18.2771        -0.2375        276.2751       -13.1235       12.10          
18.287-0.256   8              250            18.3011        -0.2663        276.3128       -13.1157       0.00           
18.287-0.256   8              350            18.3009        -0.2666        276.3129       -13.1161       1.30           
18.287-0.256   9              250            18.2570        -0.1667        276.2012       -13.1082       0.00           
18.287-0.256   9              350            18.2585        -0.1671        276.2023       -13.1070       5.59           
18.287-0.256   10             250            18.3136        -0.2568        276.3101       -13.1003       0.00           
18.287-0.256   10             350            18.3138        -0.2560        276.3095       -13.0997       2.97           
18.287-0.256   11             250            18.2656        -0.1561        276.1957       -13.0956       0.00           
18.287-0.256   11             350            18.2656        -0.1557        276.1953       -13.0954       1.44           
18.326-0.279   1              250            18.3076        -0.3244        276.3686       -13.1371       0.00           
18.326-0.279   1              350            18.3074        -0.3245        276.3686       -13.1374       0.80           
18.341-0.276   1              250            18.3598        -0.2755        276.3493       -13.0681       0.00           
18.341-0.276   1              350            18.3586        -0.2753        276.3485       -13.0691       4.38           
18.366-0.392   1              250            18.3492        -0.3706        276.4305       -13.1219       0.00           
18.366-0.392   1              350            18.3496        -0.3698        276.4300       -13.1212       3.22           
18.366-0.392   2              250            18.3734        -0.3950        276.4643       -13.1119       0.00           
18.366-0.392   2              350            18.3740        -0.3951        276.4647       -13.1114       2.19           
18.472-0.18    1              250            18.4504        -0.2030        276.3269       -12.9542       0.00           
18.472-0.18    1              350            18.4504        -0.2026        276.3265       -12.9540       1.44           
18.486-0.165   1              250            18.4854        -0.1651        276.3093       -12.9055       0.00           
18.486-0.165   1              350            18.4863        -0.1646        276.3093       -12.9045       3.71           
18.5-0.183     1              250            18.4994        -0.1808        276.3302       -12.9005       0.00           
18.5-0.183     1              350            18.4994        -0.1807        276.3301       -12.9004       0.36           
18.571-0.435   1              250            18.5686        -0.4448        276.6029       -12.9624       0.00           
18.571-0.435   1              350            18.5680        -0.4432        276.6012       -12.9622       6.15           
18.571-0.435   2              250            18.5718        -0.4344        276.5950       -12.9548       0.00           
18.571-0.435   2              350            18.5717        -0.4340        276.5946       -12.9547       1.48           
18.681-0.051   1              250            18.6776        -0.0538        276.3004       -12.6836       0.00           
18.681-0.051   1              350            18.6778        -0.0530        276.2998       -12.6830       2.97           
18.689-0.093   1              250            18.6874        -0.0910        276.3388       -12.6923       0.00           
18.689-0.093   1              350            18.6877        -0.0909        276.3389       -12.6920       1.14           
18.69-0.383    1              250            18.6830        -0.3741        276.5935       -12.8283       0.00           
18.69-0.383    1              350            18.6857        -0.3755        276.5960       -12.8265       10.95          
18.762-0.029   1              250            18.7634        -0.0292        276.3192       -12.5962       0.00           
18.762-0.029   1              350            18.7641        -0.0287        276.3191       -12.5954       3.10           
18.787-0.55    1              250            18.7675        -0.5440        276.7880       -12.8327       0.00           
18.787-0.55    1              350            18.7665        -0.5439        276.7875       -12.8335       3.62           
18.849-0.086   1              250            18.8486        -0.0856        276.4111       -12.5472       0.00           
18.849-0.086   1              350            18.8460        -0.0840        276.4084       -12.5488       10.99          
18.854+0.713   1              250            18.8455        0.6814         275.7157       -12.1910       0.00           
18.854+0.713   1              350            18.8458        0.6803         275.7168       -12.1913       4.10           
18.886+0.068   1              250            18.8208        0.0106         276.3106       -12.5269       0.00           
18.886+0.068   1              350            18.8217        0.0108         276.3109       -12.5260       3.32           
18.886+0.068   2              250            18.8659        -0.0160        276.3563       -12.4994       0.00           
18.886+0.068   2              350            18.8651        -0.0143        276.3544       -12.4993       6.76           
18.886+0.068   3              250            18.8860        -0.0247        276.3738       -12.4857       0.00           
18.886+0.068   3              350            18.8863        -0.0243        276.3736       -12.4853       1.80           
18.886+0.068   4              250            18.8935        0.0270         276.3306       -12.4549       0.00           
18.886+0.068   4              350            18.8947        0.0275         276.3307       -12.4536       4.68           
18.886+0.068   5              250            18.9063        0.0303         276.3337       -12.4421       0.00           
18.886+0.068   5              350            18.9059        0.0306         276.3332       -12.4423       1.80           
18.886+0.068   6              250            18.9080        0.0417         276.3242       -12.4353       0.00           
18.886+0.068   6              350            18.9075        0.0404         276.3251       -12.4363       5.01           
18.886+0.068   7              250            18.9066        0.0800         276.2888       -12.4186       0.00           
18.886+0.068   7              350            18.9063        0.0785         276.2901       -12.4196       5.51           
18.886+0.068   8              250            18.8888        0.1353         276.2303       -12.4085       0.00           
18.886+0.068   8              350            18.8894        0.1362         276.2297       -12.4075       3.89           
18.886+0.068   9              250            18.9204        0.0781         276.2972       -12.4073       0.00           
18.886+0.068   9              350            18.9211        0.0792         276.2965       -12.4062       4.69           
18.886+0.068   10             250            18.8987        0.1366         276.2338       -12.3991       0.00           
18.886+0.068   10             350            18.8978        0.1367         276.2333       -12.3999       3.26           
18.886+0.068   11             250            18.9510        0.0545         276.3332       -12.3913       0.00           
18.886+0.068   11             350            18.9513        0.0533         276.3344       -12.3916       4.45           
18.886+0.068   12             250            18.9716        0.0472         276.3496       -12.3764       0.00           
18.886+0.068   12             350            18.9715        0.0485         276.3484       -12.3759       4.69           
18.893+1.005   1              250            18.9369        0.9759         275.4936       -11.9721       0.00           
18.893+1.005   1              350            18.9374        0.9765         275.4933       -11.9714       2.81           
18.893+1.005   2              250            18.9296        1.0134         275.4563       -11.9609       0.00           
18.893+1.005   2              350            18.9313        1.0133         275.4572       -11.9595       6.13           
18.906-0.152   1              250            18.9068        -0.1512        276.4983       -12.5264       0.00           
18.906-0.152   1              350            18.9066        -0.1502        276.4973       -12.5261       3.67           
18.907-0.09    1              250            18.9070        -0.0934        276.4461       -12.4992       0.00           
18.907-0.09    1              350            18.9059        -0.0924        276.4446       -12.4997       5.35           
