map_name       70 glon        70 glat        250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
16.852-0.319   16.8487        -0.3173        16.8492        -0.3169        16.8494        -0.3169        
18.214-0.486   18.2128        -0.4852        18.2151        -0.4868        18.2139        -0.4864        
22.795-0.457   22.7960        -0.4799        22.7970        -0.4811        22.7971        -0.4812        
24.547-0.736   24.5648        -0.7271        24.5627        -0.7288        24.5630        -0.7289        
25.354+0.263   25.3413        0.2510         25.3399        0.2493         25.3400        0.2493         
26.083-0.036   26.0773        -0.0645        26.0773        -0.0653        26.0753        -0.0670        
27.978-0.43    27.9364        -0.3812        27.9382        -0.3828        27.9386        -0.3813        
28.565-0.227   28.5690        -0.2337        28.5662        -0.2339        28.5660        -0.2344        
28.612-0.393   28.5964        -0.3584        28.5971        -0.3597        28.5970        -0.3591        
28.677-0.278   28.7101        -0.2409        28.7105        -0.2409        28.7088        -0.2407        
28.861+0.204   28.8648        0.2015         28.8632        0.2035         28.8632        0.2037         
30.492+0.958   30.4955        0.9545         30.4938        0.9563         30.4931        0.9564         
32.309-0.885   32.3356        -0.8468        32.3380        -0.8458        32.3385        -0.8454        
33.988-0.297   33.9783        -0.2796        33.9773        -0.2787        33.9776        -0.2780        
35.549+0.049   35.5553        0.0145         35.5562        0.0147         35.5565        0.0147         
35.606-0.244   35.6089        -0.2413        35.6080        -0.2434        35.6080        -0.2441        
35.623-0.08    35.5756        0.0116         35.5767        0.0095         35.5783        0.0086         
35.732-0.873   35.7011        -0.9825        35.6997        -0.9817        35.7005        -0.9831        
36.899-0.41    36.9143        -0.4184        36.9154        -0.4185        36.9158        -0.4183        
37.438+0.141   37.4432        0.1426         37.4423        0.1421         37.4438        0.1399         
37.78-0.265    37.7652        -0.2577        37.7647        -0.2599        37.7653        -0.2600        
41.065-0.234   41.0641        -0.2417        41.0632        -0.2440        41.0638        -0.2436        
43.174-0.075   43.1634        -0.0692        43.1652        -0.0699        43.1650        -0.0699        
48.553+0.024   48.5756        0.0530         48.5780        0.0545         48.5795        0.0552         
48.73-0.385    48.7109        -0.4016        48.7095        -0.3998        48.7089        -0.4010        
49.189-0.367   49.0288        -0.2695        49.0291        -0.2723        49.0291        -0.2713        
49.828-0.431   49.8174        -0.4545        49.8175        -0.4560        49.8168        -0.4576        
50.856+0.017   50.8979        -0.0710        50.8959        -0.0704        50.8961        -0.0700        
53.8+0.008     53.8561        -0.0093        53.8554        -0.0090        53.8562        -0.0088        
55.14+0.137    55.1397        0.1347         55.1405        0.1348         55.1410        0.1343         
