map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
16.852-0.319   1              70             16.8487        -0.3173        275.6589       -14.4229       2.31           
16.852-0.319   1              250            16.8492        -0.3169        275.6588       -14.4223       0.00           
16.852-0.319   1              350            16.8494        -0.3169        275.6589       -14.4221       0.72           
18.214-0.486   1              70             18.2128        -0.4852        276.4693       -13.2960       10.09          
18.214-0.486   1              250            18.2151        -0.4868        276.4718       -13.2947       0.00           
18.214-0.486   1              350            18.2139        -0.4864        276.4709       -13.2956       4.55           
22.795-0.457   1              70             22.7960        -0.4799        278.6304       -9.2323        5.62           
22.795-0.457   1              250            22.7970        -0.4811        278.6320       -9.2319        0.00           
22.795-0.457   1              350            22.7971        -0.4812        278.6321       -9.2319        0.51           
24.547-0.736   1              70             24.5648        -0.7271        279.6742       -7.7750        9.73           
24.547-0.736   1              250            24.5627        -0.7288        279.6748       -7.7776        0.00           
24.547-0.736   1              350            24.5630        -0.7289        279.6750       -7.7774        1.14           
25.354+0.263   1              70             25.3413        0.2510         279.1577       -6.6361        7.93           
25.354+0.263   1              250            25.3399        0.2493         279.1586       -6.6382        0.00           
25.354+0.263   1              350            25.3400        0.2493         279.1586       -6.6381        0.36           
26.083-0.036   1              70             26.0773        -0.0645        279.7797       -6.1271        2.88           
26.083-0.036   1              250            26.0773        -0.0653        279.7804       -6.1274        0.00           
26.083-0.036   1              350            26.0753        -0.0670        279.7810       -6.1300        9.45           
27.978-0.43    1              70             27.9364        -0.3812        280.9171       -4.6191        8.67           
27.978-0.43    1              250            27.9382        -0.3828        280.9194       -4.6182        0.00           
27.978-0.43    1              350            27.9386        -0.3813        280.9182       -4.6171        5.59           
28.565-0.227   1              70             28.5690        -0.2337        281.0754       -3.9890        10.11          
28.565-0.227   1              250            28.5662        -0.2339        281.0743       -3.9915        0.00           
28.565-0.227   1              350            28.5660        -0.2344        281.0746       -3.9919        1.94           
28.612-0.393   1              70             28.5964        -0.3584        281.1991       -4.0215        5.32           
28.612-0.393   1              250            28.5971        -0.3597        281.2006       -4.0215        0.00           
28.612-0.393   1              350            28.5970        -0.3591        281.2000       -4.0213        2.19           
28.677-0.278   1              70             28.7101        -0.2409        281.1464       -3.8667        1.44           
28.677-0.278   1              250            28.7105        -0.2409        281.1466       -3.8664        0.00           
28.677-0.278   1              350            28.7088        -0.2407        281.1456       -3.8678        6.16           
28.861+0.204   1              70             28.8648        0.2015         280.8229       -3.5270        9.22           
28.861+0.204   1              250            28.8632        0.2035         280.8204       -3.5275        0.00           
28.861+0.204   1              350            28.8632        0.2037         280.8202       -3.5274        0.72           
30.492+0.958   1              70             30.4955        0.9545         280.8983       -1.7325        8.91           
30.492+0.958   1              250            30.4938        0.9563         280.8959       -1.7332        0.00           
30.492+0.958   1              350            30.4931        0.9564         280.8955       -1.7337        2.55           
32.309-0.885   1              70             32.3356        -0.8468        283.3413       -0.9168        9.36           
32.309-0.885   1              250            32.3380        -0.8458        283.3415       -0.9142        0.00           
32.309-0.885   1              350            32.3385        -0.8454        283.3414       -0.9136        2.30           
33.988-0.297   1              70             33.9783        -0.2796        283.5855       0.8037         4.84           
33.988-0.297   1              250            33.9773        -0.2787        283.5842       0.8033         0.00           
33.988-0.297   1              350            33.9776        -0.2780        283.5838       0.8038         2.74           
35.549+0.049   1              70             35.5553        0.0145         284.0434       2.3412         3.32           
35.549+0.049   1              250            35.5562        0.0147         284.0437       2.3421         0.00           
35.549+0.049   1              350            35.5565        0.0147         284.0438       2.3424         1.08           
35.606-0.244   1              70             35.6089        -0.2413        284.2957       2.2722         8.23           
35.606-0.244   1              250            35.6080        -0.2434        284.2972       2.2704         0.00           
35.606-0.244   1              350            35.6080        -0.2441        284.2978       2.2701         2.52           
35.623-0.08    1              70             35.5756        0.0116         284.0553       2.3580         8.53           
35.623-0.08    1              250            35.5767        0.0095         284.0577       2.3580         0.00           
35.623-0.08    1              350            35.5783        0.0086         284.0592       2.3590         6.61           
35.732-0.873   1              70             35.7011        -0.9825        284.9977       2.0156         5.80           
35.732-0.873   1              250            35.6997        -0.9817        284.9963       2.0148         0.00           
35.732-0.873   1              350            35.7005        -0.9831        284.9979       2.0148         5.80           
36.899-0.41    1              70             36.9143        -0.4184        285.0505       3.3524         3.98           
36.899-0.41    1              250            36.9154        -0.4185        285.0511       3.3534         0.00           
36.899-0.41    1              350            36.9158        -0.4183        285.0511       3.3538         1.61           
37.438+0.141   1              70             37.4432        0.1426         284.7928       4.0793         3.71           
37.438+0.141   1              250            37.4423        0.1421         284.7928       4.0783         0.00           
37.438+0.141   1              350            37.4438        0.1399         284.7954       4.0786         9.59           
37.78-0.265    1              70             37.7652        -0.2577        285.2973       4.1826         8.12           
37.78-0.265    1              250            37.7647        -0.2599        285.2990       4.1812         0.00           
37.78-0.265    1              350            37.7653        -0.2600        285.2994       4.1817         2.19           
41.065-0.234   1              70             41.0641        -0.2417        286.8038       7.1213         8.89           
41.065-0.234   1              250            41.0632        -0.2440        286.8054       7.1195         0.00           
41.065-0.234   1              350            41.0638        -0.2436        286.8053       7.1202         2.60           
43.174-0.075   1              70             43.1634        -0.0692        287.6266       9.0638         6.95           
43.174-0.075   1              250            43.1652        -0.0699        287.6281       9.0650         0.00           
43.174-0.075   1              350            43.1650        -0.0699        287.6280       9.0649         0.72           
48.553+0.024   1              70             48.5756        0.0530         290.0879       13.9108        10.19          
48.553+0.024   1              250            48.5780        0.0545         290.0877       13.9136        0.00           
48.553+0.024   1              350            48.5795        0.0552         290.0878       13.9152        5.96           
48.73-0.385    1              70             48.7109        -0.4016        290.5666       13.8163        8.21           
48.73-0.385    1              250            48.7095        -0.3998        290.5643       13.8159        0.00           
48.73-0.385    1              350            48.7089        -0.4010        290.5651       13.8148        4.83           
49.189-0.367   1              70             49.0288        -0.2695        290.6010       14.1589        10.14          
49.189-0.367   1              250            49.0291        -0.2723        290.6037       14.1579        0.00           
49.189-0.367   1              350            49.0291        -0.2713        290.6028       14.1584        3.60           
49.828-0.431   1              70             49.8174        -0.4545        291.1542       14.7665        5.41           
49.828-0.431   1              250            49.8175        -0.4560        291.1556       14.7659        0.00           
49.828-0.431   1              350            49.8168        -0.4576        291.1567       14.7645        6.29           
50.856+0.017   1              70             50.8979        -0.0710        291.3352       15.8997        7.52           
50.856+0.017   1              250            50.8959        -0.0704        291.3337       15.8982        0.00           
50.856+0.017   1              350            50.8961        -0.0700        291.3334       15.8985        1.61           
53.8+0.008     1              70             53.8561        -0.0093        292.7578       18.5281        2.74           
53.8+0.008     1              250            53.8554        -0.0090        292.7572       18.5276        0.00           
53.8+0.008     1              350            53.8562        -0.0088        292.7574       18.5284        2.97           
55.14+0.137    1              70             55.1397        0.1347         293.2795       19.7220        2.90           
55.14+0.137    1              250            55.1405        0.1348         293.2798       19.7227        0.00           
55.14+0.137    1              350            55.1410        0.1343         293.2805       19.7229        2.55           
